"comuna","acceso_casas_controladoFALSE","acceso_casas_controladoTRUE","se.acceso_casas_controladoFALSE","se.acceso_casas_controladoTRUE"
"Aisen",0.985758392176997,0.014241607823003,0.0072261988210654,0.0072261988210654
"Alto Hospicio",0.932581454468879,0.0674185455311214,0.0225511855628565,0.0225511855628565
"Ancud",0.996129718359639,0.00387028164036097,0.00384654594966632,0.00384654594966632
"Angol",1,0,0,0
"Antofagasta",0.927798399147737,0.072201600852263,0.020939808340401,0.020939808340401
"Arica",0.98386016334935,0.0161398366506497,0.00596479738681024,0.00596479738681024
"Buin",0.958729913079016,0.041270086920984,0.0222375822603865,0.0222375822603865
"Bulnes",0.974496670104711,0.0255033298952886,0.0129717494440132,0.0129717494440132
"Calama",0.933448251206711,0.0665517487932888,0.0212916141403169,0.0212916141403169
"Calbuco",0.99249421501123,0.00750578498876987,0.00522248731076481,0.00522248731076481
"Calera",0.96439824835168,0.03560175164832,0.0124260212407986,0.0124260212407986
"Castro",0.996093806025763,0.00390619397423664,0.00389522382608233,0.00389522382608233
"Cauquenes",0.992788260369662,0.00721173963033776,0.00525550079902049,0.00525550079902049
"Cerrillos",0.984561894579483,0.0154381054205172,0.011144189745864,0.011144189745864
"Cerro Navia",0.99582595064678,0.00417404935322039,0.00414784959005163,0.00414784959005163
"Chanaral",1,0,0,0
"Chiguayante",0.974483753003965,0.0255162469960352,0.00924609394404069,0.00924609394404069
"Chillan",0.965073023441875,0.0349269765581245,0.0179244898702947,0.0179244898702947
"Chillan Viejo",0.990372798207596,0.00962720179240343,0.00536717770597271,0.00536717770597271
"Chimbarongo",0.99617414903411,0.00382585096589004,0.0038229613917773,0.0038229613917773
"Coihaique",0.990846350263261,0.00915364973673933,0.00517102786793819,0.00517102786793818
"Coihueco",1,0,0,0
"Colina",0.810701656120445,0.189298343879555,0.0507930493839771,0.0507930493839771
"Collipulli",1,0,0,0
"Concepcion",0.934782642085473,0.0652173579145265,0.0162540223200646,0.0162540223200646
"Conchali",0.990276791049662,0.00972320895033807,0.00636071489794792,0.00636071489794792
