"comuna","confia_muchobastante_carabinerosFALSE","confia_muchobastante_carabinerosTRUE","se.confia_muchobastante_carabinerosFALSE","se.confia_muchobastante_carabinerosTRUE"
"Aisen",0.726773343863262,0.273226656136738,0.0241164893218062,0.0241164893218062
"Alto Hospicio",0.837445861047219,0.162554138952781,0.0150470378351561,0.0150470378351561
"Ancud",0.699872535757148,0.300127464242852,0.0298309715455372,0.0298309715455372
"Angol",0.74168163594861,0.25831836405139,0.0262683728891429,0.0262683728891429
"Antofagasta",0.831718514673198,0.168281485326802,0.0157304387124335,0.0157304387124335
"Arica",0.751761019672148,0.248238980327852,0.0139341626905142,0.0139341626905142
"Buin",0.846219032832073,0.153780967167927,0.0230374682681187,0.0230374682681187
"Bulnes",0.679062373555456,0.320937626444544,0.0538958229667966,0.0538958229667966
"Calama",0.879149783171107,0.120850216828893,0.0158080718365496,0.0158080718365496
"Calbuco",0.754481957099576,0.245518042900424,0.0293912152651432,0.0293912152651432
"Calera",0.852842874289565,0.147157125710435,0.0221268360889917,0.0221268360889917
"Castro",0.748960216852831,0.251039783147169,0.032021851257946,0.032021851257946
"Cauquenes",0.705601109699274,0.294398890300726,0.0258024748741401,0.0258024748741401
"Cerrillos",0.865554472818733,0.134445527181268,0.0237158051321915,0.0237158051321915
"Cerro Navia",0.94488777010287,0.0551122298971297,0.0170420865291026,0.0170420865291026
"Chanaral",0.884444551778436,0.115555448221564,0.0324704200669107,0.0324704200669107
"Chiguayante",0.675809479273652,0.324190520726348,0.0398710779618649,0.0398710779618649
"Chillan",0.766088381032538,0.233911618967462,0.0210086852897972,0.0210086852897972
"Chillan Viejo",0.720295808114944,0.279704191885056,0.0306922767555717,0.0306922767555717
"Chimbarongo",0.807776811854312,0.192223188145687,0.0280079516610907,0.0280079516610907
"Coihaique",0.721195401697921,0.278804598302079,0.0213245592711091,0.0213245592711091
"Coihueco",0.655152219534397,0.344847780465604,0.0539512838218156,0.0539512838218156
