"comuna","confia_muchobastante_pdiFALSE","confia_muchobastante_pdiTRUE","se.confia_muchobastante_pdiFALSE","se.confia_muchobastante_pdiTRUE"
"Aisen",0.749231495773599,0.250768504226401,0.026409041253123,0.026409041253123
"Alto Hospicio",0.881844934245535,0.118155065754465,0.0144649462896543,0.0144649462896543
"Ancud",0.836118852030277,0.163881147969723,0.0247038322564071,0.0247038322564071
"Angol",0.746800722401364,0.253199277598636,0.0279878046711329,0.0279878046711329
"Antofagasta",0.820191250259808,0.179808749740192,0.0157420000697179,0.0157420000697179
"Arica",0.765527162519358,0.234472837480642,0.0144026450097317,0.0144026450097317
"Buin",0.890477778947125,0.109522221052875,0.0248130302296353,0.0248130302296353
"Bulnes",0.746200346015738,0.253799653984262,0.0513696856877044,0.0513696856877044
"Calama",0.865341643528569,0.134658356471431,0.0176943511519107,0.0176943511519107
"Calbuco",0.843942302562995,0.156057697437005,0.0338519421879265,0.0338519421879265
"Calera",0.862342700383695,0.137657299616305,0.0224688728820758,0.0224688728820758
"Castro",0.810446540624181,0.189553459375819,0.028035111204361,0.028035111204361
"Cauquenes",0.724713522857075,0.275286477142925,0.0307702636502715,0.0307702636502715
"Cerrillos",0.870898053963551,0.129101946036449,0.0244392461078876,0.0244392461078876
"Cerro Navia",0.935643530627695,0.0643564693723049,0.0159876121873478,0.0159876121873478
"Chanaral",0.858976447827857,0.141023552172143,0.0319285792112022,0.0319285792112022
"Chiguayante",0.707144685943231,0.292855314056769,0.0405526111039585,0.0405526111039585
"Chillan",0.786815322486036,0.213184677513964,0.0186125752318788,0.0186125752318788
"Chillan Viejo",0.724397109944506,0.275602890055494,0.0341098453380791,0.0341098453380791
"Chimbarongo",0.838931704210561,0.161068295789439,0.0288806707339695,0.0288806707339695
"Coihaique",0.788100731113253,0.211899268886747,0.0214771563724276,0.0214771563724276
"Coihueco",0.661496031511137,0.338503968488863,0.0722702343538267,0.0722702343538266
"Colina",0.895194653386247,0.104805346613753,0.0205679648343902,0.0205679648343902
"Collipulli",0.932262777650944,0.067737222349056,0.0188116305260549,0.0188116305260549
"Concepcion",0.787651689951546,0.212348310048454,0.0177859025646423,0.0177859025646423
"Conchali",0.866535798592587,0.133464201407413,0.0180909946031963,0.0180909946031963
"Concon",0.84684816226871,0.15315183773129,0.0249979528313017,0.0249979528313017
"Constitucion",0.767369790775196,0.232630209224804,0.0264356903308737,0.0264356903308737
"Copiapo",0.837709955944733,0.162290044055267,0.0186936447143663,0.0186936447143663
