"comuna","confia_muchobastante_policiasFALSE","confia_muchobastante_policiasTRUE","se.confia_muchobastante_policiasFALSE","se.confia_muchobastante_policiasTRUE"
"Aisen",0.627576525342918,0.372423474657082,0.0273933256273914,0.0273933256273914
"Alto Hospicio",0.794988701034518,0.205011298965482,0.0164755455892628,0.0164755455892628
"Ancud",0.637930792985187,0.362069207014813,0.0298836608749413,0.0298836608749413
"Angol",0.623152201867287,0.376847798132713,0.0325469877814205,0.0325469877814205
"Antofagasta",0.741617197701706,0.258382802298294,0.0183682302229001,0.0183682302229001
"Arica",0.650376331930067,0.349623668069933,0.0158509856051624,0.0158509856051624
"Buin",0.783680679841816,0.216319320158184,0.0248912085706392,0.0248912085706392
"Bulnes",0.593681238450081,0.406318761549919,0.0616173072551998,0.0616173072551998
"Calama",0.806151943882598,0.193848056117402,0.0196599308546973,0.0196599308546973
"Calbuco",0.676370471237026,0.323629528762974,0.0388308469008776,0.0388308469008776
"Calera",0.783160112235699,0.216839887764301,0.0287009965544423,0.0287009965544423
"Castro",0.666380589621866,0.333619410378134,0.0355808843793849,0.0355808843793849
"Cauquenes",0.620841785577172,0.379158214422828,0.0277662440887792,0.0277662440887792
"Cerrillos",0.818407160045995,0.181592839954005,0.025824940473284,0.025824940473284
"Cerro Navia",0.906238018430066,0.0937619815699339,0.0208328563565008,0.0208328563565008
"Chanaral",0.829306425750704,0.170693574249296,0.0371018172038962,0.0371018172038962
"Chiguayante",0.550005447472034,0.449994552527966,0.0375317775609431,0.0375317775609431
"Chillan",0.680990914064616,0.319009085935384,0.0231408278767516,0.0231408278767516
"Chillan Viejo",0.618326083716701,0.381673916283299,0.035601091481703,0.035601091481703
"Chimbarongo",0.719139368397512,0.280860631602488,0.0328189753262134,0.0328189753262134
"Coihaique",0.648690592745282,0.351309407254718,0.0233792006830945,0.0233792006830945
"Coihueco",0.514450457337759,0.485549542662241,0.0736418307701227,0.0736418307701227
"Colina",0.822628190829747,0.177371809170253,0.0282369512608958,0.0282369512608958
"Collipulli",0.759717353754703,0.240282646245297,0.0355945592681982,0.0355945592681982
"Concepcion",0.637862330449927,0.362137669550073,0.0190440293028895,0.0190440293028895
"Conchali",0.796081824388106,0.203918175611894,0.0207554818465352,0.0207554818465352
"Concon",0.748349415150598,0.251650584849402,0.0310885625918765,0.0310885625918765
"Constitucion",0.665391209234911,0.334608790765089,0.0247407705921225,0.0247407705921225
"Copiapo",0.730578353984271,0.269421646015729,0.0222644487513849,0.0222644487513849
"Coquimbo",0.723430764847679,0.276569235152321,0.0220692884197722,0.0220692884197722
"Coronel",0.626661761895569,0.373338238104431,0.0326964084455352,0.0326964084455352
