"comuna","robo_armas_de_algun_tipoFALSE","robo_armas_de_algun_tipoTRUE","se.robo_armas_de_algun_tipoFALSE","se.robo_armas_de_algun_tipoTRUE"
"Aisen",1,0,0,0
"Alto Hospicio",1,0,0,0
"Ancud",1,0,0,0
"Angol",1,0,0,0
"Antofagasta",1,0,0,0
"Arica",1,0,0,0
"Buin",1,0,0,0
"Bulnes",1,0,0,0
"Calama",1,0,0,0
"Calbuco",1,0,0,0
"Calera",1,0,3.84720356132893e-18,0
"Castro",1,0,0,0
"Cauquenes",1,0,0,0
"Cerrillos",1,0,0,0
"Cerro Navia",1,0,0,0
"Chanaral",1,0,0,0
"Chiguayante",1,0,0,0
"Chillan",1,0,0,0
"Chillan Viejo",1,0,0,0
"Chimbarongo",1,0,0,0
"Coihaique",0.998544667166823,0.00145533283317659,0.00145173542679378,0.00145173542679378
"Coihueco",1,0,0,0
"Colina",1,0,0,0
"Collipulli",1,0,0,0
"Concepcion",1,0,0,0
"Conchali",1,0,0,0
"Concon",1,0,0,0
"Constitucion",1,0,0,0
"Copiapo",1,0,0,0
"Coquimbo",0.997309480812647,0.00269051918735244,0.00269415307152436,0.00269415307152436
"Coronel",1,0,0,0
"Curico",1,0,0,0
"Donihue",1,0,0,0
"El Bosque",1,0,0,0
"Estacion Central",1,0,0,0
"Graneros",1,0,0,0
"Hualpen",1,0,0,0
"Huechuraba",1,0,0,0
"Illapel",1,0,0,0
"Independencia",1,0,0,0
"Iquique",1,0,0,0
"La Cisterna",1,0,7.20796528247896e-18,0
"La Florida",1,0,0,0
"La Granja",1,0,4.80131549653187e-18,0
"La Ligua",1,0,0,0
"La Pintana",1,0,0,0
"La Reina",1,0,5.500688677056e-18,0
"La Serena",1,0,0,0
"La Union",1,0,4.60405515645683e-18,0
"Lampa",1,0,0,0
"Las Condes",1,0,0,0
"Lautaro",1,0,0,0
"Lebu",1,0,0,0
"Limache",1,0,0,0
"Linares",1,0,2.4879400155277e-18,0
"Lo Barnechea",1,0,0,0
"Lo Espejo",1,0,4.73444329930534e-18,0
"Lo Prado",1,0,0,0
"Loncoche",1,0,0,0
"Los Andes",1,0,0,0
"Los Angeles",1,0,0,0
"Los Vilos",1,0,0,0
"Lota",1,0,0,0
"Machali",1,0,0,0
"Macul",1,0,0,0
"Maipu",1,0,0,0
"Maule",1,0,0,0
"Melipilla",1,0,0,0
"Molina",1,0,3.07391112048031e-18,0
"Mostazal",1,0,0,0
"Natales",1,0,0,0
"Nueva Imperial",1,0,0,0
"Nunoa",1,0,0,0
"Osorno",1,0,0,0
"Ovalle",1,0,0,0
"Padre Hurtado",1,0,0,0
"Padre Las Casas",1,0,5.83104377345417e-18,0
"Paillaco",1,0,0,0
"Paine",1,0,0,0
"Panguipulli",1,0,0,0
"Parral",1,0,0,0
"Pedro Aguirre Cerda",1,0,0,0
"Penaflor",1,0,0,0
"Penalolen",1,0,0,0
"Penco",1,0,0,0
"Pichilemu",1,0,0,0
"Pitrufquen",1,0,0,0
"Pozo Almonte",1,0,0,0
"Providencia",1,0,0,0
"Pucon",1,0,0,0
"Pudahuel",1,0,0,0
"Puente Alto",1,0,0,0
"Puerto Montt",1,0,0,0
"Puerto Varas",1,0,7.12982991794065e-18,0
"Punta Arenas",1,0,2.69177863903775e-18,0
"Quellon",1,0,0,0
"Quilicura",0.997880324864749,0.00211967513525073,0.00213959973019815,0.00213959973019815
"Quillon",1,0,0,0
"Quillota",1,0,0,0
"Quilpue",1,0,0,0
"Quinta Normal",1,0,0,0
"Quirihue",1,0,0,0
"Rancagua",1,0,4.01093414422173e-18,0
"Recoleta",1,0,0,0
"Renca",1,0,0,0
"Rengo",1,0,0,0
"Rio Bueno",1,0,4.97718346708381e-18,0
"San Antonio",1,0,0,0
"San Bernardo",1,0,0,0
"San Carlos",1,0,0,0
"San Felipe",1,0,0,0
"San Fernando",1,0,0,0
"San Javier",1,0,0,0
"San Joaquin",1,0,0,0
"San Miguel",1,0,0,0
"San Pedro de la Paz",1,0,0,0
"San Ramon",1,0,0,0
"San Vicente",1,0,0,0
"Santa Cruz",1,0,0,0
"Santiago",1,0,0,0
"Talagante",1,0,0,0
"Talca",1,0,0,0
"Talcahuano",1,0,0,0
"Temuco",0.998547880981888,0.00145211901811178,0.00145127333576194,0.00145127333576194
"Tocopilla",1,0,0,0
"Tome",1,0,0,0
"Valdivia",1,0,3.08867692895301e-18,0
"Vallenar",1,0,0,0
"Valparaiso",1,0,0,0
"Victoria",1,0,0,0
"Vilcun",1,0,0,0
"Villa Alemana",1,0,0,0
"Villarrica",1,0,0,0
"Vina del Mar",1,0,0,0
"Vitacura",1,0,0,0
"Yungay",1,0,0,0
