"comuna","si_arma_en_casaFALSE","si_arma_en_casaTRUE","se.si_arma_en_casaFALSE","se.si_arma_en_casaTRUE"
"Aisen",0.973492615454353,0.0265073845456471,0.00858703976256143,0.00858703976256143
"Alto Hospicio",0.988561331648885,0.0114386683511152,0.00420863028268134,0.00420863028268134
"Ancud",0.983083325753857,0.0169166742461431,0.00724148547648835,0.00724148547648835
"Angol",0.923901477559185,0.0760985224408147,0.0189149028891682,0.0189149028891682
"Antofagasta",0.974129682414249,0.0258703175857508,0.00618263764127392,0.00618263764127391
"Arica",0.976318923409569,0.0236810765904312,0.00423979433239492,0.00423979433239492
"Buin",0.979985797921486,0.0200142020785138,0.0100413363531031,0.0100413363531031
"Bulnes",0.923457090530306,0.0765429094696944,0.0214205558202746,0.0214205558202746
"Calama",0.987173786675355,0.0128262133246453,0.0051063341984558,0.0051063341984558
"Calbuco",0.984119033098158,0.015880966901842,0.00872746639605682,0.00872746639605682
"Calera",0.961072044615797,0.0389279553842032,0.010146474669848,0.010146474669848
"Castro",0.975850985279173,0.0241490147208266,0.0119483289298013,0.0119483289298013
"Cauquenes",0.963030473391535,0.0369695266084651,0.00874755039363704,0.00874755039363704
"Cerrillos",0.949370316992183,0.0506296830078173,0.0120630949282829,0.0120630949282829
"Cerro Navia",0.996227729160646,0.00377227083935413,0.00371788318016769,0.00371788318016769
"Chanaral",0.974321315603088,0.0256786843969124,0.0107446149737424,0.0107446149737424
"Chiguayante",0.951731235997851,0.0482687640021492,0.0129533289651224,0.0129533289651224
"Chillan",0.962492347716767,0.0375076522832328,0.0080606735457271,0.0080606735457271
"Chillan Viejo",0.954395110172497,0.0456048898275027,0.0113477857629321,0.0113477857629321
"Chimbarongo",0.935057894916328,0.0649421050836716,0.0168853452496426,0.0168853452496426
"Coihaique",0.963169707716613,0.0368302922833874,0.00771319350495242,0.00771319350495242
"Coihueco",0.931934395796294,0.0680656042037057,0.0260642889378793,0.0260642889378793
"Colina",0.971952783807243,0.0280472161927573,0.0101293254683029,0.0101293254683029
"Collipulli",0.971024091940233,0.0289759080597668,0.0115710269897988,0.0115710269897988
"Concepcion",0.963959183217152,0.0360408167828481,0.00654860474306946,0.00654860474306946
"Conchali",0.962107318364344,0.0378926816356561,0.00959643548595747,0.00959643548595747
"Concon",0.935077671800027,0.0649223281999734,0.0159287090196384,0.0159287090196384
"Constitucion",0.952406881267921,0.0475931187320788,0.0121659820039458,0.0121659820039458
"Copiapo",0.99045530482389,0.00954469517611021,0.00386603634826539,0.00386603634826539
"Coquimbo",0.979683381711099,0.0203166182889005,0.00687182411843062,0.00687182411843062
"Coronel",0.951246188013441,0.0487538119865586,0.0106461524670345,0.0106461524670345
"Curico",0.957759153002503,0.0422408469974968,0.00684814676826694,0.00684814676826694
"Donihue",1,0,0,0
"El Bosque",0.974067435704266,0.0259325642957337,0.010956995037268,0.010956995037268
"Estacion Central",0.969832427086406,0.0301675729135942,0.010480315840823,0.010480315840823
"Graneros",0.958932677299078,0.0410673227009217,0.0157837821416314,0.0157837821416314
"Hualpen",0.97535294349411,0.0246470565058898,0.00720424746955119,0.00720424746955119
"Huechuraba",0.949911272574834,0.0500887274251657,0.0162729329438954,0.0162729329438954
"Illapel",0.951914525238482,0.0480854747615179,0.0128514747272705,0.0128514747272705
"Independencia",0.994232710431187,0.00576728956881296,0.00480602786620374,0.00480602786620374
"Iquique",0.976420022744937,0.0235799772550633,0.00577747082292112,0.00577747082292112
"La Cisterna",0.965029446128243,0.0349705538717566,0.0125672881361606,0.0125672881361606
"La Florida",0.959670871014882,0.0403291289851181,0.00946710291265286,0.00946710291265286
"La Granja",0.975954297653944,0.0240457023460558,0.00883211990908806,0.00883211990908807
"La Ligua",0.962622818667141,0.0373771813328594,0.0115071249815825,0.0115071249815825
"La Pintana",0.995720266829027,0.00427973317097341,0.0043045063319842,0.0043045063319842
"La Reina",0.945281085681279,0.0547189143187206,0.0140673341907219,0.0140673341907219
"La Serena",0.97288502435484,0.0271149756451601,0.00815878759892033,0.00815878759892033
"La Union",0.978373968518901,0.0216260314810988,0.00843896895217604,0.00843896895217604
"Lampa",0.963817604196755,0.0361823958032448,0.0125076105241468,0.0125076105241468
"Las Condes",0.942218050677101,0.0577819493228993,0.0105543442211206,0.0105543442211206
"Lautaro",0.962318078625676,0.0376819213743241,0.0144692538864166,0.0144692538864166
"Lebu",0.925858727032005,0.0741412729679947,0.0154574730977028,0.0154574730977029
"Limache",0.950998431719255,0.0490015682807448,0.0105241719554762,0.0105241719554762
"Linares",0.964442048884424,0.0355579511155763,0.00806317939467042,0.00806317939467042
"Lo Barnechea",0.926802454245513,0.073197545754487,0.0215106770885074,0.0215106770885074
"Lo Espejo",0.969083032973613,0.0309169670263873,0.00927729901978742,0.00927729901978741
"Lo Prado",0.956905683782041,0.0430943162179588,0.0142594115988014,0.0142594115988014
"Loncoche",0.956100757645672,0.043899242354328,0.0179416927626199,0.0179416927626199
"Los Andes",0.9468590729273,0.0531409270726997,0.0114268132038031,0.0114268132038031
"Los Angeles",0.96120040275717,0.0387995972428299,0.00882730438659145,0.00882730438659145
"Los Vilos",0.95616719638916,0.0438328036108404,0.0124032900673401,0.0124032900673401
"Lota",0.965032398471838,0.0349676015281618,0.00957145288610348,0.00957145288610348
"Machali",0.947579020250492,0.052420979749508,0.0110768303680968,0.0110768303680968
"Macul",0.979948130147534,0.0200518698524656,0.00742935809711379,0.00742935809711379
"Maipu",0.974314163311574,0.0256858366884255,0.00702990871802862,0.00702990871802862
"Maule",0.948712221465984,0.0512877785340158,0.01102558912503,0.01102558912503
"Melipilla",0.956656006085084,0.0433439939149162,0.0128361003186575,0.0128361003186575
"Molina",0.959051279781001,0.0409487202189987,0.0130440328199442,0.0130440328199442
"Mostazal",0.943464862255304,0.0565351377446955,0.0124471793426226,0.0124471793426226
"Natales",0.953531949652693,0.046468050347307,0.0108909396366238,0.0108909396366238
"Nueva Imperial",0.962052523484058,0.0379474765159417,0.0167849854677326,0.0167849854677326
"Nunoa",0.96913871811353,0.0308612818864702,0.00833679933680916,0.00833679933680915
"Osorno",0.970186864913404,0.0298131350865963,0.00739138165922645,0.00739138165922645
"Ovalle",0.964788343923358,0.0352116560766419,0.0091614417799728,0.0091614417799728
"Padre Hurtado",0.96439010349149,0.0356098965085102,0.0119807179389518,0.0119807179389518
"Padre Las Casas",0.976258675696874,0.0237413243031258,0.00912389079859473,0.00912389079859474
