"comuna","si_medida_seguridad_rejasFALSE","si_medida_seguridad_rejasTRUE","se.si_medida_seguridad_rejasFALSE","se.si_medida_seguridad_rejasTRUE"
"Aisen",0.970061552167001,0.0299384478329988,0.0103653759872396,0.0103653759872396
"Alto Hospicio",0.512058161552311,0.487941838447689,0.0289639015859059,0.0289639015859059
"Ancud",0.905484946389285,0.094515053610715,0.0172719733449056,0.0172719733449056
"Angol",0.618173924435363,0.381826075564637,0.0511770382833598,0.0511770382833598
"Antofagasta",0.394173233102763,0.605826766897237,0.0332751765805054,0.0332751765805054
"Arica",0.525431575960412,0.474568424039588,0.0189016850843965,0.0189016850843965
"Buin",0.548637278392658,0.451362721607342,0.0488522438902362,0.0488522438902362
"Bulnes",0.729415440992683,0.270584559007317,0.044481336598332,0.044481336598332
"Calama",0.291370060598042,0.708629939401958,0.0345498941639588,0.0345498941639588
"Calbuco",0.432182824875342,0.567817175124658,0.0566194517534878,0.0566194517534878
"Calera",0.339131163999423,0.660868836000577,0.0313439543502006,0.0313439543502006
"Castro",0.893102163209971,0.106897836790029,0.0216019877324666,0.0216019877324666
"Cauquenes",0.523867855603432,0.476132144396568,0.0464155637181429,0.0464155637181429
"Cerrillos",0.295459453322902,0.704540546677099,0.0372907311041056,0.0372907311041056
"Cerro Navia",0.25157576290763,0.74842423709237,0.0399372886096961,0.0399372886096961
"Chanaral",0.480050394543784,0.519949605456217,0.04732421627775,0.04732421627775
"Chiguayante",0.634229895793407,0.365770104206593,0.0319997519808255,0.0319997519808255
"Chillan",0.375311623866593,0.624688376133407,0.0271043818625065,0.0271043818625065
"Chillan Viejo",0.458854309919833,0.541145690080167,0.0511127662377567,0.0511127662377567
"Chimbarongo",0.683475834412348,0.316524165587651,0.0364291038596991,0.0364291038596991
"Coihaique",0.964382813782254,0.0356171862177459,0.00788524970541618,0.00788524970541619
"Coihueco",0.765054588798236,0.234945411201764,0.0466184946474364,0.0466184946474364
"Colina",0.481488999279095,0.518511000720905,0.0468604115048897,0.0468604115048897
"Collipulli",0.745992779984895,0.254007220015105,0.0396801668487056,0.0396801668487056
"Concepcion",0.516916569168489,0.483083430831511,0.0290894964335884,0.0290894964335884
"Conchali",0.266538894860675,0.733461105139325,0.0259505305423504,0.0259505305423504
"Concon",0.669681660600438,0.330318339399562,0.0300878157584734,0.0300878157584734
"Constitucion",0.582642134346716,0.417357865653284,0.0474288359322204,0.0474288359322204
"Copiapo",0.311677421693979,0.688322578306021,0.0327879683630597,0.0327879683630597
"Coquimbo",0.284025155047191,0.715974844952809,0.0367224116780664,0.0367224116780664
"Coronel",0.39868610807759,0.601313891922409,0.0334711125121255,0.0334711125121255
"Curico",0.433732762691122,0.566267237308878,0.0227890766500465,0.0227890766500465
"Donihue",0.0743633646648025,0.925636635335197,0.0250765227509213,0.0250765227509213
"El Bosque",0.24189611860043,0.75810388139957,0.0337640188950812,0.0337640188950812
"Estacion Central",0.473960817981746,0.526039182018254,0.0500557938961407,0.0500557938961407
"Graneros",0.65849470169226,0.34150529830774,0.0368498426028712,0.0368498426028712
"Hualpen",0.320680644885052,0.679319355114948,0.0365394128443669,0.0365394128443669
