"comuna","si_medidas_seguridad_proteccionFALSE","si_medidas_seguridad_proteccionTRUE","se.si_medidas_seguridad_proteccionFALSE","se.si_medidas_seguridad_proteccionTRUE"
"Aisen",0.906776810244538,0.0932231897554624,0.0240524974238237,0.0240524974238237
"Alto Hospicio",0.739486205729399,0.260513794270601,0.0252002566722625,0.0252002566722625
"Ancud",0.766485796842529,0.233514203157471,0.0242134761194414,0.0242134761194414
"Angol",0.615159010409396,0.384840989590604,0.04333805945704,0.04333805945704
"Antofagasta",0.763292427969285,0.236707572030715,0.020917258244418,0.020917258244418
"Arica",0.866643112293517,0.133356887706483,0.0107054073147817,0.0107054073147817
"Buin",0.609197256550151,0.390802743449849,0.050029414146385,0.050029414146385
"Bulnes",0.940239907688794,0.0597600923112057,0.0185515320530087,0.0185515320530087
"Calama",0.810105133322891,0.189894866677109,0.0219819253665499,0.0219819253665499
"Calbuco",0.945828615577021,0.0541713844229792,0.0234997684462685,0.0234997684462685
"Calera",0.621613828569744,0.378386171430255,0.0370684821789999,0.0370684821789999
"Castro",0.610792608764848,0.389207391235152,0.0419764233141135,0.0419764233141135
"Cauquenes",0.88421899102717,0.11578100897283,0.0189519542691445,0.0189519542691445
"Cerrillos",0.581619754726373,0.418380245273627,0.0466119949301248,0.0466119949301248
"Cerro Navia",0.592021636824339,0.407978363175661,0.0478482135300838,0.0478482135300838
"Chanaral",0.775287352617748,0.224712647382252,0.032171993107177,0.032171993107177
"Chiguayante",0.439369689557199,0.560630310442801,0.0428403658872496,0.0428403658872496
"Chillan",0.766430154763974,0.233569845236026,0.0202527426497854,0.0202527426497854
"Chillan Viejo",0.749240471375028,0.250759528624972,0.0447064297606891,0.0447064297606891
"Chimbarongo",0.848922605810943,0.151077394189057,0.0327234922859327,0.0327234922859327
"Coihaique",0.884991270375763,0.115008729624237,0.0154530016547532,0.0154530016547533
"Coihueco",0.764585932987519,0.235414067012481,0.0601369970976908,0.0601369970976908
"Colina",0.742763216340673,0.257236783659327,0.0318468744307603,0.0318468744307603
"Collipulli",0.693439939069123,0.306560060930877,0.0508539249589081,0.0508539249589081
"Concepcion",0.710901417595497,0.289098582404503,0.026887224389527,0.026887224389527
"Conchali",0.459883293821427,0.540116706178573,0.0345465761575847,0.0345465761575847
"Concon",0.71016960824933,0.28983039175067,0.031649876084625,0.031649876084625
"Constitucion",0.674037146003456,0.325962853996544,0.0445388341183895,0.0445388341183895
"Copiapo",0.684517607208408,0.315482392791592,0.0265068038466513,0.0265068038466513
"Coquimbo",0.403401735511409,0.596598264488591,0.0419664888630144,0.0419664888630144
"Coronel",0.495604340004507,0.504395659995493,0.0430553719360991,0.0430553719360991
"Curico",0.825666506385779,0.174333493614221,0.0193232352510326,0.0193232352510326
"Donihue",0.713128687839236,0.286871312160764,0.0306259299110111,0.0306259299110111
"El Bosque",0.723387133372813,0.276612866627187,0.0459628328896182,0.0459628328896182
"Estacion Central",0.794497178250411,0.205502821749589,0.0349453876587054,0.0349453876587054
"Graneros",0.671816552212702,0.328183447787299,0.0588423496558852,0.0588423496558852
