"comuna","si_presencia_balacerasFALSE","si_presencia_balacerasTRUE","se.si_presencia_balacerasFALSE","se.si_presencia_balacerasTRUE"
"Aisen",0.914321167356193,0.0856788326438067,0.0139853033200662,0.0139853033200662
"Alto Hospicio",0.595010176849168,0.404989823150832,0.0241229581925824,0.0241229581925824
"Ancud",0.914665529502061,0.0853344704979394,0.0193524293492072,0.0193524293492072
"Angol",0.707313435944121,0.292686564055879,0.0358160411370105,0.0358160411370105
"Antofagasta",0.701045348210019,0.298954651789981,0.0237744303899794,0.0237744303899794
"Arica",0.622140736057828,0.377859263942172,0.0164104928008533,0.0164104928008533
"Buin",0.615026999963746,0.384973000036254,0.0427263296687412,0.0427263296687412
"Bulnes",0.914929203136097,0.0850707968639031,0.025930408961418,0.025930408961418
"Calama",0.637522687855716,0.362477312144284,0.0332193323928338,0.0332193323928338
"Calbuco",0.822232633155944,0.177767366844056,0.0376222471470504,0.0376222471470504
"Calera",0.643508800073467,0.356491199926533,0.0303454905260746,0.0303454905260746
"Castro",0.724253666269266,0.275746333730734,0.0329586806109126,0.0329586806109126
"Cauquenes",0.881737580328574,0.118262419671426,0.019220781241972,0.019220781241972
"Cerrillos",0.513549155298853,0.486450844701147,0.0334463086348816,0.0334463086348816
"Cerro Navia",0.363778026535008,0.636221973464992,0.0434139862757094,0.0434139862757094
"Chanaral",0.847250993619046,0.152749006380954,0.0360278854221823,0.0360278854221823
"Chiguayante",0.630317440793921,0.369682559206079,0.0342414559836782,0.0342414559836782
"Chillan",0.717623009514181,0.282376990485819,0.0248863493179176,0.0248863493179176
"Chillan Viejo",0.746986899789109,0.253013100210891,0.0310708369687334,0.0310708369687334
"Chimbarongo",0.882824209005916,0.117175790994084,0.0259959601394299,0.0259959601394299
"Coihaique",0.881244864805534,0.118755135194466,0.0169660148084264,0.0169660148084264
"Coihueco",0.667420280342468,0.332579719657532,0.0605940994626979,0.0605940994626979
"Colina",0.484031764372545,0.515968235627455,0.0446573924963126,0.0446573924963126
