"comuna","si_presencia_pandillasFALSE","si_presencia_pandillasTRUE","se.si_presencia_pandillasFALSE","se.si_presencia_pandillasTRUE"
"Aisen",0.847001583277892,0.152998416722108,0.0253479668937749,0.0253479668937749
"Alto Hospicio",0.637931836843491,0.362068163156509,0.0240966871310444,0.0240966871310444
"Ancud",0.861571268226957,0.138428731773043,0.0213533970930667,0.0213533970930667
"Angol",0.838089959807004,0.161910040192996,0.0260604679691018,0.0260604679691018
"Antofagasta",0.747273890557092,0.252726109442908,0.0214019822046688,0.0214019822046688
"Arica",0.684690051574044,0.315309948425956,0.0165706936011549,0.0165706936011549
"Buin",0.734365456942059,0.265634543057941,0.0340588922544232,0.0340588922544232
"Bulnes",0.895951699167416,0.104048300832584,0.0279981352281477,0.0279981352281477
"Calama",0.819438748000974,0.180561251999026,0.0245038037459103,0.0245038037459103
"Calbuco",0.81816059644762,0.18183940355238,0.0338218068484349,0.0338218068484349
"Calera",0.823223005212829,0.176776994787171,0.0232371089488186,0.0232371089488186
"Castro",0.831332550293296,0.168667449706704,0.0261358950999179,0.0261358950999179
"Cauquenes",0.937877235477362,0.0621227645226382,0.0107730176131236,0.0107730176131236
"Cerrillos",0.688419139992353,0.311580860007647,0.0367162304603919,0.0367162304603919
"Cerro Navia",0.647102699390329,0.352897300609671,0.0462203026410737,0.0462203026410737
"Chanaral",0.828884772470436,0.171115227529564,0.0393528492132959,0.0393528492132959
"Chiguayante",0.752056443759982,0.247943556240018,0.0295167033094494,0.0295167033094494
"Chillan",0.860170952783784,0.139829047216216,0.0168821123225261,0.0168821123225261
"Chillan Viejo",0.844945512822677,0.155054487177323,0.0243014386618611,0.0243014386618611
"Chimbarongo",0.814116304651387,0.185883695348613,0.035800008364491,0.035800008364491
"Coihaique",0.862605041890682,0.137394958109318,0.0132398924045452,0.0132398924045452
"Coihueco",0.722008042817831,0.277991957182169,0.0599912975494711,0.0599912975494712
"Colina",0.68496777774744,0.31503222225256,0.0349765601154461,0.0349765601154461
"Collipulli",0.826157928584545,0.173842071415456,0.0315637030049997,0.0315637030049997
"Concepcion",0.81519971599308,0.18480028400692,0.0175383562590015,0.0175383562590015
"Conchali",0.660447718999404,0.339552281000596,0.0247394601606843,0.0247394601606843
"Concon",0.827912681367382,0.172087318632618,0.0260984017447583,0.0260984017447583
"Constitucion",0.791045979312521,0.208954020687479,0.0351184949637138,0.0351184949637138
"Copiapo",0.820180086600899,0.179819913399101,0.0169766625042054,0.0169766625042054
"Coquimbo",0.779323008110766,0.220676991889234,0.0255385537310479,0.0255385537310479
"Coronel",0.78896320121201,0.21103679878799,0.0273690881586516,0.0273690881586516
"Curico",0.831238748642826,0.168761251357174,0.0153636762830113,0.0153636762830113
"Donihue",0.912263521555565,0.0877364784444347,0.040320406687053,0.040320406687053
"El Bosque",0.718579355842224,0.281420644157776,0.0443310163894295,0.0443310163894295
