"comuna","si_presencia_peleas_con_armas_en_barrioFALSE","si_presencia_peleas_con_armas_en_barrioTRUE","se.si_presencia_peleas_con_armas_en_barrioFALSE","se.si_presencia_peleas_con_armas_en_barrioTRUE"
"Aisen",0.869560729600092,0.130439270399908,0.0244042535748394,0.0244042535748394
"Alto Hospicio",0.70186301945581,0.29813698054419,0.0217880613416771,0.0217880613416771
"Ancud",0.934028754035395,0.0659712459646051,0.0181577434646862,0.0181577434646862
"Angol",0.838997606976813,0.161002393023187,0.0282450370519638,0.0282450370519638
"Antofagasta",0.764080796195578,0.235919203804422,0.0185367798786439,0.0185367798786439
"Arica",0.705590441853033,0.294409558146967,0.0162342404138938,0.0162342404138938
"Buin",0.773626517022751,0.226373482977249,0.0414282668058623,0.0414282668058623
"Bulnes",0.917206271266663,0.0827937287333375,0.0193246581047391,0.0193246581047391
"Calama",0.798344103442372,0.201655896557628,0.0265698512573989,0.0265698512573989
"Calbuco",0.881744408042334,0.118255591957666,0.0284561040568538,0.0284561040568538
"Calera",0.839097596974874,0.160902403025126,0.0242224221469068,0.0242224221469068
"Castro",0.891851506320321,0.108148493679679,0.0219221432160812,0.0219221432160812
"Cauquenes",0.929754702658745,0.0702452973412552,0.014314199210575,0.014314199210575
"Cerrillos",0.777886033831239,0.222113966168761,0.0353217211699298,0.0353217211699298
"Cerro Navia",0.665061525826094,0.334938474173906,0.0444464435995108,0.0444464435995108
"Chanaral",0.794496055429107,0.205503944570893,0.0343279900178401,0.0343279900178401
"Chiguayante",0.817082935277823,0.182917064722177,0.0296923665412217,0.0296923665412217
"Chillan",0.8839474702909,0.1160525297091,0.0164649485879533,0.0164649485879533
"Chillan Viejo",0.890644918170786,0.109355081829214,0.0206513974128115,0.0206513974128115
"Chimbarongo",0.880260924185767,0.119739075814233,0.0381697137235261,0.0381697137235261
"Coihaique",0.898933062409078,0.101066937590922,0.0128370542093308,0.0128370542093308
"Coihueco",0.723485856605458,0.276514143394542,0.0554995991838055,0.0554995991838055
"Colina",0.793121714814894,0.206878285185106,0.0299043576492111,0.0299043576492111
"Collipulli",0.786336726823584,0.213663273176416,0.0310402382421349,0.0310402382421349
"Concepcion",0.87326130761127,0.12673869238873,0.0165396805849406,0.0165396805849406
"Conchali",0.658689574659606,0.341310425340394,0.0230813327796854,0.0230813327796854
"Concon",0.916230072671805,0.0837699273281947,0.0165243658575291,0.0165243658575291
"Constitucion",0.841189587508281,0.158810412491719,0.0287840220349827,0.0287840220349827
"Copiapo",0.818019808489425,0.181980191510575,0.0207888999951725,0.0207888999951725
"Coquimbo",0.817176676401385,0.182823323598615,0.0253804585080926,0.0253804585080926
"Coronel",0.804446517184186,0.195553482815814,0.0185191933095465,0.0185191933095465
"Curico",0.864379957669155,0.135620042330845,0.0152826033664629,0.0152826033664629
