"comuna","si_presencia_violencia_entre_vecinosFALSE","si_presencia_violencia_entre_vecinosTRUE","se.si_presencia_violencia_entre_vecinosFALSE","se.si_presencia_violencia_entre_vecinosTRUE"
"Aisen",0.9206446235943,0.0793553764057,0.0211610624278497,0.0211610624278497
"Alto Hospicio",0.761892947311793,0.238107052688207,0.0217994247832323,0.0217994247832323
"Ancud",0.905819554268259,0.0941804457317411,0.0224172529699557,0.0224172529699557
"Angol",0.858700673303014,0.141299326696986,0.0276027085449386,0.0276027085449386
"Antofagasta",0.79993672488335,0.20006327511665,0.0181251213507497,0.0181251213507497
"Arica",0.724176948914431,0.275823051085569,0.015573847775018,0.015573847775018
"Buin",0.822298432027982,0.177701567972018,0.0343297416998371,0.0343297416998371
"Bulnes",0.911935172868556,0.0880648271314438,0.0205062595584395,0.0205062595584395
"Calama",0.821765555162292,0.178234444837708,0.0236238448385699,0.0236238448385699
"Calbuco",0.892646803098455,0.107353196901545,0.0294938506928534,0.0294938506928534
"Calera",0.822597196662748,0.177402803337252,0.0243562576395927,0.0243562576395927
"Castro",0.865167943253033,0.134832056746967,0.0220461624067747,0.0220461624067747
"Cauquenes",0.93905739086644,0.0609426091335603,0.0125441388384184,0.0125441388384184
"Cerrillos",0.828869918184852,0.171130081815148,0.0250519543107381,0.0250519543107381
"Cerro Navia",0.69824414364879,0.30175585635121,0.0501720190455872,0.0501720190455872
"Chanaral",0.819396745588798,0.180603254411203,0.0378537658752032,0.0378537658752032
"Chiguayante",0.782104806352915,0.217895193647085,0.0303816795372389,0.0303816795372389
"Chillan",0.852241365993158,0.147758634006842,0.0173861080850018,0.0173861080850018
"Chillan Viejo",0.872836508928505,0.127163491071495,0.0229464509850537,0.0229464509850537
"Chimbarongo",0.910227180100518,0.0897728198994823,0.0284111225203864,0.0284111225203864
"Coihaique",0.908631467190545,0.091368532809455,0.0127815483031676,0.0127815483031676
"Coihueco",0.658527507268335,0.341472492731665,0.0709788418485155,0.0709788418485155
"Colina",0.787540308229148,0.212459691770852,0.0344054402720747,0.0344054402720747
"Collipulli",0.783039287751562,0.216960712248438,0.0396890924645021,0.0396890924645021
"Concepcion",0.841881517479888,0.158118482520112,0.0156629335825165,0.0156629335825165
"Conchali",0.704720329257138,0.295279670742862,0.0254131297110992,0.0254131297110992
"Concon",0.882808462673391,0.117191537326609,0.022933883368485,0.022933883368485
"Constitucion",0.818765822691624,0.181234177308376,0.029621212986035,0.029621212986035
"Copiapo",0.81378131721118,0.18621868278882,0.0192196076671015,0.0192196076671015
"Coquimbo",0.847095930591805,0.152904069408195,0.0211628966729173,0.0211628966729173
"Coronel",0.786454001057082,0.213545998942918,0.0212877999185774,0.0212877999185774
"Curico",0.870959008166426,0.129040991833574,0.0154754340544082,0.0154754340544082
"Donihue",0.886513124279727,0.113486875720273,0.0322993258243786,0.0322993258243786
"El Bosque",0.794614670671306,0.205385329328694,0.0425897534283166,0.0425897534283166
"Estacion Central",0.707501043052815,0.292498956947185,0.0293186100330651,0.0293186100330651
"Graneros",0.856828518631788,0.143171481368212,0.0347256487755957,0.0347256487755957
"Hualpen",0.823923007441814,0.176076992558186,0.0238177542278312,0.0238177542278312
"Huechuraba",0.796654624289103,0.203345375710897,0.040104413916593,0.040104413916593
"Illapel",0.830764264650599,0.169235735349401,0.0240364154921876,0.0240364154921876
"Independencia",0.616064304446019,0.383935695553981,0.0510907086031998,0.0510907086031998
"Iquique",0.824039770802896,0.175960229197104,0.0161787999219246,0.0161787999219246
"La Cisterna",0.812284273199065,0.187715726800935,0.0300940903960734,0.0300940903960734
"La Florida",0.820019711412286,0.179980288587714,0.022731567675069,0.022731567675069
"La Granja",0.660285186680038,0.339714813319962,0.0291552265105042,0.0291552265105042
"La Ligua",0.895778181025449,0.104221818974551,0.0188822019328852,0.0188822019328852
"La Pintana",0.579828683433011,0.420171316566989,0.0491785518964453,0.0491785518964453
"La Reina",0.894761882281554,0.105238117718446,0.0223292124333666,0.0223292124333666
"La Serena",0.905814190529376,0.0941858094706237,0.0135554589610404,0.0135554589610404
"La Union",0.864602303463225,0.135397696536775,0.0235147603496963,0.0235147603496963
"Lampa",0.810230019353081,0.189769980646919,0.023691985579479,0.023691985579479
"Las Condes",0.947512782515609,0.0524872174843913,0.0119073242295738,0.0119073242295738
"Lautaro",0.863711560360174,0.136288439639826,0.0292070391559843,0.0292070391559843
"Lebu",0.838331343071678,0.161668656928322,0.0276693476413828,0.0276693476413828
"Limache",0.838548032393707,0.161451967606293,0.0283069447731265,0.0283069447731265
"Linares",0.894948849409933,0.105051150590067,0.0185739483738035,0.0185739483738035
"Lo Barnechea",0.914199787849404,0.0858002121505962,0.0239641543670806,0.0239641543670806
"Lo Espejo",0.702547643954297,0.297452356045703,0.0298321351572667,0.0298321351572667
"Lo Prado",0.731073834156314,0.268926165843686,0.0395590733251272,0.0395590733251272
"Loncoche",0.952688980668748,0.047311019331252,0.013031482039155,0.013031482039155
"Los Andes",0.851728402227942,0.148271597772058,0.0244596282946695,0.0244596282946695
"Los Angeles",0.837501901269184,0.162498098730816,0.0195174275771122,0.0195174275771122
"Los Vilos",0.882421234482172,0.117578765517828,0.0274601364294049,0.0274601364294049
"Lota",0.805584879452851,0.194415120547149,0.0242875152408158,0.0242875152408158
"Machali",0.90745152776698,0.09254847223302,0.0177278993258476,0.0177278993258476
"Macul",0.761513420390409,0.238486579609591,0.0252557138241404,0.0252557138241404
"Maipu",0.823798777759977,0.176201222240023,0.0195586878907705,0.0195586878907705
"Maule",0.862209746389072,0.137790253610928,0.0214649878009267,0.0214649878009267
"Melipilla",0.787163121179978,0.212836878820022,0.033559637335141,0.033559637335141
"Molina",0.893746963144279,0.106253036855721,0.0181436004870801,0.0181436004870801
"Mostazal",0.791115299560858,0.208884700439142,0.0361240095564709,0.0361240095564709
"Natales",0.976692681903886,0.0233073180961138,0.0100976309612477,0.0100976309612477
"Nueva Imperial",0.864007178501887,0.135992821498113,0.0291306001481348,0.0291306001481348
"Nunoa",0.901492980074319,0.0985070199256806,0.0178284114291992,0.0178284114291992
"Osorno",0.87303163255345,0.12696836744655,0.0192906627573589,0.0192906627573589
"Ovalle",0.807526536652686,0.192473463347314,0.0251162669961449,0.0251162669961449
"Padre Hurtado",0.742832251924788,0.257167748075212,0.0346026949262866,0.0346026949262867
"Padre Las Casas",0.850419811195108,0.149580188804891,0.0240195477466346,0.0240195477466346
"Paillaco",0.871646021568172,0.128353978431828,0.0271944165708223,0.0271944165708223
"Paine",0.818560718027182,0.181439281972818,0.0293750226490214,0.0293750226490214
"Panguipulli",0.980802085977789,0.019197914022211,0.00937329358385271,0.00937329358385271
"Parral",0.880461169350119,0.119538830649881,0.0350472756855075,0.0350472756855075
"Pedro Aguirre Cerda",0.744463608343589,0.255536391656411,0.0281277233921391,0.0281277233921391
"Penaflor",0.770225548144775,0.229774451855225,0.0322640496739689,0.0322640496739689
"Penalolen",0.763948548569577,0.236051451430423,0.0303383522807754,0.0303383522807754
"Penco",0.821855585392824,0.178144414607176,0.0211300248264957,0.0211300248264957
"Pichilemu",0.904981311504477,0.0950186884955232,0.0231502880027896,0.0231502880027896
"Pitrufquen",0.831511061147775,0.168488938852225,0.0385336372631013,0.0385336372631013
"Pozo Almonte",0.769273788179102,0.230726211820898,0.0462934207122145,0.0462934207122145
"Providencia",0.949637906086058,0.0503620939139421,0.0123400523746375,0.0123400523746375
"Pucon",0.938931671113362,0.0610683288866381,0.0259430971471302,0.0259430971471302
"Pudahuel",0.760876720457533,0.239123279542467,0.0304423927122331,0.0304423927122331
"Puente Alto",0.824376707772288,0.175623292227712,0.0167723229509452,0.0167723229509452
"Puerto Montt",0.832868869453078,0.167131130546922,0.0202992563965655,0.0202992563965655
"Puerto Varas",0.838972274428041,0.161027725571959,0.0334003666695059,0.0334003666695059
"Punta Arenas",0.962372760867208,0.0376272391327917,0.00654514111622905,0.00654514111622905
"Quellon",0.859338380050416,0.140661619949584,0.033015597436508,0.033015597436508
"Quilicura",0.746497151646541,0.253502848353459,0.031967598401743,0.031967598401743
"Quillon",0.884910436410356,0.115089563589644,0.0315057323126125,0.0315057323126125
"Quillota",0.827883495107722,0.172116504892278,0.0267202108409262,0.0267202108409262
"Quilpue",0.847642875004895,0.152357124995105,0.0174658010055926,0.0174658010055926
"Quinta Normal",0.749131520774006,0.250868479225994,0.0254284427278659,0.0254284427278659
"Quirihue",0.903673653796596,0.0963263462034043,0.0266707004491327,0.0266707004491327
"Rancagua",0.868225697571764,0.131774302428236,0.0151332569482005,0.0151332569482005
"Recoleta",0.729089761907581,0.270910238092419,0.0267871963147965,0.0267871963147965
"Renca",0.785445791172606,0.214554208827394,0.0328700665045285,0.0328700665045285
"Rengo",0.871781432271437,0.128218567728563,0.0268376912361118,0.0268376912361118
"Rio Bueno",0.889407144442243,0.110592855557757,0.0238996075007191,0.0238996075007191
"San Antonio",0.886942672182785,0.113057327817215,0.0201800427363107,0.0201800427363107
"San Bernardo",0.66078240179097,0.33921759820903,0.0341841335998077,0.0341841335998077
"San Carlos",0.89118215292451,0.10881784707549,0.0198822416083186,0.0198822416083186
"San Felipe",0.87536771751882,0.12463228248118,0.0178786384192025,0.0178786384192025
"San Fernando",0.870313575566081,0.129686424433919,0.0233650739501034,0.0233650739501034
"San Javier",0.840191397596645,0.159808602403355,0.0289115777745856,0.0289115777745856
"San Joaquin",0.727071806383924,0.272928193616076,0.0367398454152132,0.0367398454152132
"San Miguel",0.834118890725731,0.165881109274269,0.0187365918535165,0.0187365918535165
"San Pedro de la Paz",0.826136365637441,0.173863634362559,0.023520860262248,0.023520860262248
"San Ramon",0.767725121145783,0.232274878854217,0.0263323872750446,0.0263323872750446
"San Vicente",0.937489410273605,0.0625105897263951,0.0133243661511331,0.0133243661511331
"Santa Cruz",0.896946792011904,0.103053207988096,0.0306048896006015,0.0306048896006015
"Santiago",0.638750314446965,0.361249685553035,0.0173739302957545,0.0173739302957545
"Talagante",0.786452605044246,0.213547394955754,0.0277815861448566,0.0277815861448566
"Talca",0.848221269953293,0.151778730046707,0.0180274707290221,0.0180274707290221
"Talcahuano",0.743211495943225,0.256788504056775,0.0337920149470146,0.0337920149470146
"Temuco",0.884762721466673,0.115237278533327,0.013469000636892,0.013469000636892
"Tocopilla",0.901535250789227,0.0984647492107728,0.0240368159564894,0.0240368159564894
"Tome",0.875765414614007,0.124234585385993,0.017191089143686,0.017191089143686
"Valdivia",0.840760176238943,0.159239823761057,0.0166295381293139,0.0166295381293139
"Vallenar",0.833005625821122,0.166994374178878,0.0232690238602857,0.0232690238602857
"Valparaiso",0.805336771117918,0.194663228882082,0.0174892055804993,0.0174892055804993
"Victoria",0.919320376698935,0.0806796233010646,0.0253109329635194,0.0253109329635194
"Vilcun",0.898858442355104,0.101141557644896,0.0329480165856454,0.0329480165856454
"Villa Alemana",0.874795050581639,0.125204949418361,0.0159043945014361,0.0159043945014361
"Villarrica",0.784831082267306,0.215168917732694,0.0350520410684296,0.0350520410684296
"Vina del Mar",0.82093787953195,0.17906212046805,0.0165321761299255,0.0165321761299255
"Vitacura",0.951404644800047,0.0485953551999531,0.0156773491179824,0.0156773491179824
"Yungay",0.911750316881418,0.0882496831185819,0.0389599220886835,0.0389599220886835
