"comuna","victimizacion_armada_de_algun_tipoFALSE","victimizacion_armada_de_algun_tipoTRUE","se.victimizacion_armada_de_algun_tipoFALSE","se.victimizacion_armada_de_algun_tipoTRUE"
"Aisen",0.993999300423865,0.0060006995761347,0.00420669917181649,0.00420669917181649
"Alto Hospicio",0.975571346292984,0.024428653707016,0.00592099640781866,0.00592099640781866
"Ancud",1,0,0,0
"Angol",0.995153476741041,0.00484652325895877,0.00484466578468625,0.00484466578468625
"Antofagasta",0.983175801205538,0.0168241987944622,0.0049020580105913,0.0049020580105913
"Arica",0.985359937894383,0.0146400621056169,0.00369854585158211,0.00369854585158211
"Buin",0.995470075333668,0.0045299246663319,0.00458996844432169,0.00458996844432169
"Bulnes",0.995761105533578,0.00423889446642251,0.00425973805287964,0.00425973805287965
"Calama",0.973103683493064,0.0268963165069361,0.00747452813115039,0.00747452813115039
"Calbuco",0.994344764193818,0.00565523580618235,0.00566215361143373,0.00566215361143373
"Calera",0.990200265087237,0.00979973491276308,0.00482085886076641,0.00482085886076641
"Castro",0.996936786538003,0.00306321346199681,0.00303885349018339,0.00303885349018339
"Cauquenes",1,0,0,0
"Cerrillos",0.980268235311647,0.019731764688353,0.00800185533012859,0.00800185533012859
"Cerro Navia",0.973057248138098,0.0269427518619021,0.0119101144620062,0.0119101144620062
"Chanaral",0.995472628932842,0.00452737106715802,0.00453776762467164,0.00453776762467164
"Chiguayante",0.993527871732184,0.00647212826781613,0.00457703466566128,0.00457703466566128
"Chillan",0.997088639339849,0.00291136066015055,0.00203651672102423,0.00203651672102423
"Chillan Viejo",0.986214369637079,0.0137856303629211,0.00575698530489573,0.00575698530489573
"Chimbarongo",1,0,0,0
"Coihaique",0.99869774042779,0.0013022595722101,0.00130944960929967,0.00130944960929967
"Coihueco",0.993765189583286,0.00623481041671427,0.00634862962226248,0.00634862962226248
"Colina",0.971666475603322,0.0283335243966778,0.00914897217180843,0.00914897217180843
"Collipulli",0.989016802075158,0.0109831979248416,0.00767236206026755,0.00767236206026756
"Concepcion",0.994653565574516,0.00534643442548352,0.0026378560958114,0.0026378560958114
"Conchali",0.953814736145457,0.0461852638545426,0.00857666812609822,0.00857666812609822
"Concon",0.991292238503914,0.00870776149608598,0.00494094797391426,0.00494094797391426
"Constitucion",0.997647397737146,0.00235260226285429,0.00234774611616675,0.00234774611616675
"Copiapo",0.983194160745826,0.0168058392541736,0.0058180171284821,0.0058180171284821
"Coquimbo",0.99761929798916,0.00238070201083955,0.00238597189064628,0.00238597189064628
"Coronel",0.985146082913435,0.0148539170865655,0.00563535136253019,0.00563535136253019
"Curico",0.995221425743989,0.00477857425601111,0.0024598980099553,0.0024598980099553
"Donihue",1,0,0,0
"El Bosque",0.9584328474582,0.0415671525418,0.0128800668642988,0.0128800668642988
