"comuna","acceso_controladoFALSE","acceso_controladoTRUE","se.acceso_controladoFALSE","se.acceso_controladoTRUE"
"Aisen",0.973040441266277,0.0269595587337225,0.00969556730856575,0.00969556730856575
"Alto Hospicio",0.868890741312332,0.131109258687668,0.0253789307036899,0.0253789307036899
"Ancud",0.989347692559059,0.0106523074409413,0.00535237161947659,0.00535237161947659
"Angol",0.888679607167604,0.111320392832396,0.0490152382765717,0.0490152382765717
"Antofagasta",0.707202933103361,0.292797066896639,0.0358472759766659,0.0358472759766659
"Arica",0.842401881318254,0.157598118681746,0.0238481426399389,0.0238481426399389
"Buin",0.935973322943987,0.0640266770560131,0.0308763189762866,0.0308763189762866
"Bulnes",0.958386946218011,0.0416130537819887,0.0196533751617398,0.0196533751617398
"Calama",0.859035353170956,0.140964646829044,0.0277408103004872,0.0277408103004872
"Calbuco",0.953434509023308,0.0465654909766923,0.0165633154271536,0.0165633154271536
"Calera",0.865894204383013,0.134105795616987,0.0345488580435576,0.0345488580435576
"Castro",0.9934834557719,0.00651654422809981,0.00465964531780585,0.00465964531780585
"Cauquenes",0.98678528355379,0.0132147164462099,0.00722781599560098,0.00722781599560098
"Cerrillos",0.883274874873811,0.116725125126189,0.0360116268452178,0.0360116268452178
"Cerro Navia",0.963395609353974,0.0366043906460258,0.0292468624584154,0.0292468624584154
"Chanaral",1,0,0,0
"Chiguayante",0.903918725489334,0.0960812745106659,0.0241099776837966,0.0241099776837966
"Chillan",0.91943033853817,0.0805696614618296,0.0208410012572753,0.0208410012572753
"Chillan Viejo",0.970627897655928,0.029372102344072,0.010889223535516,0.010889223535516
"Chimbarongo",0.992783701126958,0.00721629887304195,0.00502358906537936,0.00502358906537936
"Coihaique",0.980395209983842,0.0196047900161579,0.00900546828934881,0.0090054682893488
"Coihueco",0.977063958356588,0.022936041643412,0.016933008059886,0.016933008059886
"Colina",0.749902920936125,0.250097079063875,0.0542717731990645,0.0542717731990645
"Collipulli",0.991628076656664,0.00837192334333547,0.00591692974638486,0.00591692974638486
"Concepcion",0.636987725078177,0.363012274921822,0.0370269500017703,0.0370269500017703
"Conchali",0.902739983425757,0.0972600165742428,0.0213380765317872,0.0213380765317872
"Concon",0.30814962836099,0.69185037163901,0.0549787078020156,0.0549787078020156
"Constitucion",0.947117328115671,0.0528826718843285,0.025763373583901,0.025763373583901
"Copiapo",0.833402681203732,0.166597318796268,0.0316116290206466,0.0316116290206466
"Coquimbo",0.945097632809403,0.0549023671905972,0.0196315751085122,0.0196315751085122
"Coronel",0.946000657059246,0.0539993429407538,0.0159143497231803,0.0159143497231803
"Curico",0.954753553056853,0.0452464469431467,0.0123600651402845,0.0123600651402845
"Donihue",0.988119243323408,0.0118807566765919,0.0115467069431565,0.0115467069431565
"El Bosque",0.736086226643192,0.263913773356808,0.0707357409240481,0.0707357409240481
"Estacion Central",0.577223943802023,0.422776056197977,0.0578724793621418,0.0578724793621418
"Graneros",0.95706647856266,0.0429335214373403,0.014167504415976,0.014167504415976
"Hualpen",0.878297727716279,0.121702272283721,0.0313135552413724,0.0313135552413724
"Huechuraba",0.66510049845092,0.33489950154908,0.0937357509049265,0.0937357509049265
"Illapel",0.979035274617698,0.0209647253823025,0.0103634826182703,0.0103634826182703
"Independencia",0.370273944954737,0.629726055045263,0.0771616079183786,0.0771616079183786
"Iquique",0.701299401813827,0.298700598186173,0.0355551541984252,0.0355551541984252
"La Cisterna",0.615494036096424,0.384505963903576,0.061165321515894,0.061165321515894
"La Florida",0.700180528242343,0.299819471757657,0.0418812055423829,0.0418812055423829
"La Granja",0.897829149735666,0.102170850264334,0.0282847668546464,0.0282847668546464
"La Ligua",0.970651053869299,0.0293489461307007,0.0127381462109232,0.0127381462109232
"La Pintana",0.876429053459546,0.123570946540454,0.0450845044408734,0.0450845044408734
"La Reina",0.544785479191913,0.455214520808086,0.0509428785263376,0.0509428785263376
"La Serena",0.826659784528157,0.173340215471843,0.0295847225926191,0.0295847225926191
"La Union",0.978614420635467,0.0213855793645332,0.0088183289087841,0.00881832890878411
"Lampa",0.886813329983691,0.113186670016309,0.0236882245365542,0.0236882245365542
"Las Condes",0.233284377024359,0.766715622975641,0.0467946293988445,0.0467946293988445
"Lautaro",0.992583641867152,0.0074163581328482,0.00742582449382958,0.00742582449382958
