"comuna","acceso_directoFALSE","acceso_directoTRUE","se.acceso_directoFALSE","se.acceso_directoTRUE"
"Aisen",0.0366366590755633,0.963363340924437,0.0116877719772673,0.0116877719772673
"Alto Hospicio",0.139633879386418,0.860366120613582,0.0252479473657967,0.0252479473657967
"Ancud",0.0578165358434685,0.942183464156531,0.0258392818248934,0.0258392818248934
"Angol",0.111320392832396,0.888679607167604,0.0490152382765717,0.0490152382765717
"Antofagasta",0.292797066896639,0.707202933103361,0.0358472759766659,0.0358472759766659
"Arica",0.157598118681746,0.842401881318254,0.0238481426399389,0.0238481426399389
"Buin",0.0640266770560131,0.935973322943987,0.0308763189762866,0.0308763189762866
"Bulnes",0.0512996779998187,0.948700322000181,0.0205546235981454,0.0205546235981454
"Calama",0.166723494416687,0.833276505583313,0.0325705084771809,0.0325705084771809
"Calbuco",0.125131769507128,0.874868230492872,0.0466838773024509,0.0466838773024509
"Calera",0.135488428496828,0.864511571503172,0.0344905232955135,0.0344905232955135
"Castro",0.0382660104781553,0.961733989521845,0.0141680414369383,0.0141680414369383
"Cauquenes",0.0132147164462099,0.98678528355379,0.00722781599560098,0.00722781599560098
"Cerrillos",0.121002175299714,0.878997824700286,0.0359676236492328,0.0359676236492328
"Cerro Navia",0.0409460250446078,0.959053974955392,0.0294160497973635,0.0294160497973635
"Chanaral",0.0188861938782096,0.98111380612179,0.0138998573301654,0.0138998573301654
"Chiguayante",0.0993658493214711,0.900634150678529,0.0247471116478806,0.0247471116478806
"Chillan",0.0815648545433937,0.918435145456606,0.0208120112854448,0.0208120112854448
"Chillan Viejo",0.029372102344072,0.970627897655928,0.010889223535516,0.010889223535516
"Chimbarongo",0.00721629887304195,0.992783701126958,0.00502358906537936,0.00502358906537936
"Coihaique",0.0284305858908358,0.971569414109164,0.0113805016522253,0.0113805016522253
"Coihueco",0.022936041643412,0.977063958356588,0.016933008059886,0.016933008059886
"Colina",0.257771175334716,0.742228824665284,0.0541607561412431,0.0541607561412431
"Collipulli",0.0133525861150403,0.98664741388496,0.0104103098915334,0.0104103098915334
"Concepcion",0.364221878991528,0.635778121008472,0.0370883979236833,0.0370883979236833
"Conchali",0.0998470112500734,0.900152988749927,0.0213672162671679,0.0213672162671679
"Concon",0.701759773729054,0.298240226270946,0.0551849999171761,0.0551849999171761
"Constitucion",0.0648196652354627,0.935180334764537,0.0263333448848568,0.0263333448848568
"Copiapo",0.173192386508392,0.826807613491608,0.0318181111132882,0.0318181111132882
"Coquimbo",0.0623730141583381,0.937626985841662,0.0198752781241993,0.0198752781241993
"Coronel",0.0539993429407538,0.946000657059246,0.0159143497231803,0.0159143497231803
"Curico",0.0504429288692544,0.949557071130746,0.0132949279795229,0.0132949279795229
"Donihue",0.0118807566765919,0.988119243323408,0.0115467069431565,0.0115467069431565
"El Bosque",0.263913773356808,0.736086226643192,0.0707357409240481,0.0707357409240481
"Estacion Central",0.425813517375056,0.574186482624945,0.0580462044808798,0.0580462044808798
"Graneros",0.0560617202482539,0.943938279751746,0.0160874967850034,0.0160874967850034
"Hualpen",0.125844095031397,0.874155904968603,0.0320765717055321,0.0320765717055321
"Huechuraba",0.345262317368411,0.654737682631588,0.0923606189032461,0.0923606189032461
"Illapel",0.0242692321371011,0.975730767862899,0.0106351842836894,0.0106351842836894
"Independencia",0.633564227527644,0.366435772472356,0.0765840443893459,0.0765840443893459
"Iquique",0.303679980750821,0.696320019249179,0.0353515798203814,0.0353515798203814
"La Cisterna",0.388178497710753,0.611821502289247,0.0614357960640819,0.0614357960640819
"La Florida",0.305605555260344,0.694394444739657,0.0417101286502944,0.0417101286502944
"La Granja",0.102170850264334,0.897829149735666,0.0282847668546464,0.0282847668546464
"La Ligua",0.0323377219453384,0.967662278054662,0.012805697343299,0.012805697343299
"La Pintana",0.123570946540454,0.876429053459546,0.0450845044408734,0.0450845044408734
"La Reina",0.457763339267749,0.542236660732251,0.0507329057455611,0.0507329057455611
"La Serena",0.177460342642761,0.822539657357239,0.0294872439538223,0.0294872439538223
"La Union",0.0320963054288786,0.967903694571121,0.0103609377749617,0.0103609377749617
"Lampa",0.114434889428292,0.885565110571708,0.0235967142056029,0.0235967142056029
"Las Condes",0.770480207860066,0.229519792139934,0.0465250899049072,0.0465250899049072
"Lautaro",0.0074163581328482,0.992583641867152,0.00742582449382958,0.00742582449382958
"Lebu",0.00524861505470943,0.994751384945291,0.00393148505435278,0.00393148505435278
"Limache",0.447759869174763,0.552240130825237,0.0606121133076393,0.0606121133076393
"Linares",0.0472789154505239,0.952721084549476,0.0149261874747802,0.0149261874747802
"Lo Barnechea",0.434949502450897,0.565050497549103,0.0668150911997418,0.0668150911997418
"Lo Espejo",0.0272236729341956,0.972776327065805,0.0141126784478053,0.0141126784478053
"Lo Prado",0.153692780752614,0.846307219247386,0.0453832221016688,0.0453832221016688
"Loncoche",0.00276171475627335,0.997238285243727,0.0027713311813144,0.0027713311813144
"Los Andes",0.0868680972559652,0.913131902744035,0.0285004580158273,0.0285004580158273
"Los Angeles",0.089322639696841,0.910677360303159,0.0257060275099233,0.0257060275099233
"Los Vilos",0.0761164951006362,0.923883504899364,0.021073094897187,0.021073094897187
"Lota",0.045278545906853,0.954721454093147,0.0142111274056532,0.0142111274056532
"Machali",0.125134430044704,0.874865569955296,0.0309002743589072,0.0309002743589072
"Macul",0.352652060071781,0.647347939928219,0.0499106357769116,0.0499106357769116
"Maipu",0.130412058218623,0.869587941781377,0.0271566028772407,0.0271566028772407
"Maule",0.021127971112927,0.978872028887073,0.0122773923706505,0.0122773923706505
"Melipilla",0.0427376669590897,0.95726233304091,0.0129824598324492,0.0129824598324492
"Molina",0.0182925337377143,0.981707466262286,0.00884046666448011,0.00884046666448011
"Mostazal",0.0374794833177941,0.962520516682206,0.0136115984649824,0.0136115984649824
"Natales",0.0218757692745952,0.978124230725405,0.00931600015345902,0.00931600015345902
"Nueva Imperial",0.325560086487884,0.674439913512116,0.105146672827066,0.105146672827066
"Nunoa",0.736382084071684,0.263617915928316,0.0424076679721945,0.0424076679721945
"Osorno",0.0647696915561385,0.935230308443862,0.0233746853058769,0.0233746853058769
"Ovalle",0.0772840267190919,0.922715973280908,0.0262927122874,0.0262927122874
"Padre Hurtado",0.0435176470168815,0.956482352983119,0.0123958183910963,0.0123958183910963
"Padre Las Casas",0.49623840220581,0.50376159779419,0.0751311419555629,0.0751311419555629
"Paillaco",0.0467972494557075,0.953202750544292,0.0123706419282718,0.0123706419282718
"Paine",0.0469290492481077,0.953070950751892,0.0159484578807571,0.0159484578807571
"Panguipulli",0.0463805888051584,0.953619411194842,0.0156569572438483,0.0156569572438483
"Parral",0.0102951830505964,0.989704816949404,0.0102516050844288,0.0102516050844288
"Pedro Aguirre Cerda",0.069338368413658,0.930661631586342,0.0214228319091182,0.0214228319091182
"Penaflor",0.196126803892257,0.803873196107743,0.0335024258621521,0.0335024258621521
"Penalolen",0.203329169225096,0.796670830774904,0.0452880890982558,0.0452880890982558
"Penco",0.122697784829061,0.877302215170939,0.026659532491306,0.026659532491306
"Pichilemu",0.0755412393859716,0.924458760614028,0.0302280796799551,0.0302280796799551
"Pitrufquen",0.0373440146157648,0.962655985384235,0.0155505868596768,0.0155505868596768
"Pozo Almonte",0.00899485319385201,0.991005146806148,0.0067215683973145,0.0067215683973145
"Providencia",0.830236918888523,0.169763081111477,0.0298518900942797,0.0298518900942797
"Pucon",0.0973841537343399,0.90261584626566,0.0431684513768605,0.0431684513768605
"Pudahuel",0.144222106311052,0.855777893688949,0.0363490948947378,0.0363490948947378
"Puente Alto",0.192051903854242,0.807948096145758,0.0319199009539269,0.0319199009539269
"Puerto Montt",0.0857002380301942,0.914299761969806,0.019911169222612,0.019911169222612
"Puerto Varas",0.0600289043922715,0.939971095607729,0.0206266778894232,0.0206266778894232
"Punta Arenas",0.0413745942454328,0.958625405754567,0.00882419490823706,0.00882419490823706
"Quellon",0.0856699810920324,0.914330018907968,0.0341669297875056,0.0341669297875056
"Quilicura",0.149928850363922,0.850071149636078,0.0410702992230482,0.0410702992230482
"Quillon",0.0148617809384977,0.985138219061502,0.0147382585977493,0.0147382585977493
"Quillota",0.0392905959852929,0.960709404014707,0.0171968565673562,0.0171968565673562
"Quilpue",0.912850173821829,0.0871498261781706,0.0208193475922883,0.0208193475922883
"Quinta Normal",0.329723177284569,0.670276822715431,0.0434384068229065,0.0434384068229065
"Quirihue",0.0263967504627719,0.973603249537228,0.0232751122943467,0.0232751122943467
"Rancagua",0.099371996330929,0.900628003669071,0.0213026940172833,0.0213026940172833
"Recoleta",0.211899570850158,0.788100429149842,0.0406611414694259,0.0406611414694259
"Renca",0.0827017214545399,0.91729827854546,0.0248066561604411,0.0248066561604411
"Rengo",0.0216400308958042,0.978359969104196,0.00892438078821138,0.00892438078821138
"Rio Bueno",0.00466569931135668,0.995334300688643,0.00458042216593814,0.00458042216593814
"San Antonio",0.324180853759592,0.675819146240408,0.0694787469832601,0.0694787469832601
"San Bernardo",0.175240594904399,0.824759405095601,0.0392804360213741,0.0392804360213741
"San Carlos",0.0260291739203229,0.973970826079677,0.0103843304495949,0.0103843304495949
