"comuna","acceso_indeterminadoFALSE","acceso_indeterminadoTRUE","se.acceso_indeterminadoFALSE","se.acceso_indeterminadoTRUE"
"Aisen",0.990322899658159,0.0096771003418408,0.00540983977146529,0.00540983977146529
"Alto Hospicio",0.99147537930125,0.00852462069875025,0.00427203714754848,0.00427203714754848
"Ancud",0.952835771597473,0.0471642284025273,0.0256331067387822,0.0256331067387822
"Angol",1,0,0,0
"Antofagasta",1,0,0,0
"Arica",1,0,0,0
"Buin",1,0,0,0
"Bulnes",0.99031337578217,0.00968662421782998,0.00953396001549378,0.00953396001549378
"Calama",0.974241152412357,0.0257588475876429,0.0138964605537472,0.0138964605537472
"Calbuco",0.921433721469565,0.0785662785304354,0.0492541968627108,0.0492541968627108
"Calera",0.99861736712016,0.00138263287984029,0.00138773291188167,0.00138773291188167
"Castro",0.968250533749945,0.0317494662500555,0.0137881662033258,0.0137881662033258
"Cauquenes",1,0,0,0
"Cerrillos",0.995722949826475,0.00427705017352457,0.00426895916862683,0.00426895916862683
"Cerro Navia",0.995658365601418,0.00434163439858205,0.00434211104364401,0.00434211104364401
"Chanaral",0.98111380612179,0.0188861938782096,0.0138998573301654,0.0138998573301654
"Chiguayante",0.996715425189195,0.00328457481080517,0.00327417361822557,0.00327417361822557
"Chillan",0.999004806918436,0.000995193081564116,0.00099258583133653,0.000992585831336531
"Chillan Viejo",1,0,0,0
"Chimbarongo",1,0,0,0
"Coihaique",0.991174204125322,0.00882579587467794,0.00413790403725565,0.00413790403725565
"Coihueco",1,0,8.79066758490457e-18,0
"Colina",0.992325903729159,0.00767409627084077,0.0057435444231191,0.0057435444231191
"Collipulli",0.995019337228295,0.0049806627717048,0.00499695026175281,0.00499695026175281
"Concepcion",0.998790395930295,0.00120960406970534,0.00121379258943866,0.00121379258943866
"Conchali",0.997413005324169,0.00258699467583057,0.00258409564500106,0.00258409564500106
"Concon",0.990090597909956,0.00990940209004413,0.00726944059998646,0.00726944059998646
"Constitucion",0.988063006648866,0.0119369933511342,0.00793768670884226,0.00793768670884226
"Copiapo",0.993404932287877,0.00659506771212357,0.00377251933678453,0.00377251933678453
"Coquimbo",0.992529353032259,0.00747064696774092,0.00436566732972999,0.00436566732972999
"Coronel",1,0,0,0
"Curico",0.994803518073892,0.0051964819261077,0.00321825658533767,0.00321825658533767
"Donihue",1,0,0,0
"El Bosque",1,0,0,0
"Estacion Central",0.996962538822922,0.00303746117707831,0.00306615078113184,0.00306615078113185
"Graneros",0.986871801189086,0.0131281988109137,0.0093180003573984,0.0093180003573984
"Hualpen",0.995858177252324,0.00414182274767564,0.00415059448394875,0.00415059448394875
"Huechuraba",0.989637184180668,0.0103628158193318,0.0072209057782041,0.0072209057782041
"Illapel",0.996695493245201,0.00330450675479863,0.00327513025656539,0.00327513025656539
"Independencia",0.996161827517619,0.00383817248238139,0.00388252240147013,0.00388252240147013
"Iquique",0.995020617435352,0.00497938256464819,0.00308683669042005,0.00308683669042005
"La Cisterna",0.996327466192822,0.00367253380717767,0.0037168587192678,0.0037168587192678
"La Florida",0.994213916497313,0.00578608350268699,0.00408481374829777,0.00408481374829777
"La Granja",1,0,0,0
"La Ligua",0.997011224185362,0.00298877581463767,0.0029479732670673,0.0029479732670673
"La Pintana",1,0,0,0
"La Reina",0.997451181540337,0.00254881845966295,0.00255147412164028,0.00255147412164028
"La Serena",0.995879872829083,0.00412012717091719,0.00293375154935286,0.00293375154935286
"La Union",0.989289273935655,0.0107107260643454,0.00551139220185881,0.00551139220185881
"Lampa",0.998751780588017,0.00124821941198326,0.00123997695959273,0.00123997695959273
"Las Condes",0.996235415115575,0.00376458488442498,0.00276054643804105,0.00276054643804105
"Lautaro",1,0,0,0
"Lebu",1,0,0,0
"Limache",1,0,0,0
"Linares",0.993579551840714,0.00642044815928554,0.00319958152186258,0.00319958152186258
"Lo Barnechea",0.996310203152014,0.0036897968479859,0.00370996568429356,0.00370996568429356
"Lo Espejo",1,0,0,0
"Lo Prado",0.994579063595482,0.00542093640451785,0.00545291739349341,0.00545291739349341
"Loncoche",1,0,7.48238503126799e-18,0
"Los Andes",1,0,3.70930879899419e-18,0
"Los Angeles",0.993239298777443,0.00676070122255688,0.00344680299341217,0.00344680299341217
"Los Vilos",0.957881932245443,0.0421180677545574,0.0163966927995312,0.0163966927995312
"Lota",1,0,0,0
"Machali",0.993270265695113,0.00672973430488704,0.00547557507377391,0.00547557507377391
"Macul",1,0,0,0
"Maipu",0.995651109231586,0.00434889076841364,0.00318262623106138,0.00318262623106138
"Maule",1,0,4.96475273538556e-18,0
"Melipilla",0.993024332420577,0.00697566757942344,0.0049393982871169,0.0049393982871169
"Molina",0.994871897191033,0.00512810280896669,0.00362949073421941,0.00362949073421941
"Mostazal",0.993220717379056,0.00677928262094381,0.00485451736731695,0.00485451736731695
"Natales",0.998634893824087,0.00136510617591315,0.00136633845395549,0.00136633845395549
"Nueva Imperial",0.981859925812773,0.0181400741872264,0.013124310596477,0.013124310596477
"Nunoa",0.996319845943418,0.00368015405658218,0.00369508168980246,0.00369508168980246
"Osorno",1,0,0,0
"Ovalle",1,0,3.2729696195575e-18,0
"Padre Hurtado",0.97889522978676,0.0211047702132402,0.0093844587056874,0.0093844587056874
"Padre Las Casas",0.994002701154223,0.00599729884577677,0.00602956215222889,0.00602956215222889
"Paillaco",0.982326049102744,0.0176739508972556,0.00987415473093651,0.00987415473093651
"Paine",0.997512531467794,0.00248746853220625,0.00253994097669482,0.00253994097669482
"Panguipulli",0.982432323627749,0.0175676763722511,0.00951361741764083,0.00951361741764083
"Parral",1,0,0,0
"Pedro Aguirre Cerda",0.993316848450472,0.00668315154952765,0.00484297211763025,0.00484297211763026
"Penaflor",0.99295409115766,0.00704590884234034,0.00412116553269003,0.00412116553269003
"Penalolen",0.991852957890607,0.00814704210939264,0.00579211166855601,0.00579211166855601
"Penco",0.9885544112917,0.0114455887082996,0.00579833884706145,0.00579833884706145
"Pichilemu",0.940289198876087,0.0597108011239127,0.0242547197760954,0.0242547197760954
"Pitrufquen",0.982398707361844,0.0176012926381562,0.0118246475378406,0.0118246475378406
"Pozo Almonte",0.991005146806148,0.00899485319385201,0.0067215683973145,0.0067215683973145
"Providencia",1,0,4.46382485098762e-18,0
"Pucon",0.965530967160042,0.0344690328399583,0.0187951598241722,0.0187951598241722
"Pudahuel",1,0,0,0
"Puente Alto",1,0,0,0
"Puerto Montt",0.990652167905291,0.00934783209470871,0.00474801192715857,0.00474801192715857
"Puerto Varas",0.971388117504347,0.0286118824956527,0.0148922232706093,0.0148922232706093
"Punta Arenas",0.997702458899744,0.00229754110025612,0.00165277912978178,0.00165277912978177
"Quellon",0.935029246463154,0.0649707535368457,0.0339928171919959,0.0339928171919959
"Quilicura",1,0,0,0
"Quillon",1,0,0,0
"Quillota",0.998710614950606,0.00128938504939345,0.00130616548984536,0.00130616548984535
"Quilpue",0.997146795851728,0.00285320414827227,0.00286392344647506,0.00286392344647506
"Quinta Normal",0.986269230119713,0.0137307698802866,0.00644590733576513,0.00644590733576513
"Quirihue",1,0,0,0
"Rancagua",1,0,4.26724954356604e-18,0
"Recoleta",0.995046171268673,0.00495382873132693,0.00400350482767484,0.00400350482767484
"Renca",0.985894016569062,0.0141059834309378,0.00722365701812711,0.00722365701812711
"Rengo",1,0,0,0
"Rio Bueno",1,0,0,0
"San Antonio",0.996778062965169,0.00322193703483078,0.00322680917996191,0.00322680917996191
"San Bernardo",0.993721371978706,0.00627862802129435,0.004461815007063,0.004461815007063
"San Carlos",0.994867695735432,0.00513230426456854,0.00514043171089688,0.00514043171089688
"San Felipe",0.99565146527929,0.00434853472070985,0.00434463662483485,0.00434463662483485
"San Fernando",1,0,0,0
"San Javier",0.995689932192152,0.00431006780784795,0.0031536077392168,0.0031536077392168
"San Joaquin",0.93919464904184,0.0608053509581605,0.0371576306876591,0.0371576306876591
"San Miguel",0.998453082123532,0.00154691787646844,0.00155594479121038,0.00155594479121038
