"comuna","confia_muchobastante_carabinerosFALSE","confia_muchobastante_carabinerosTRUE","se.confia_muchobastante_carabinerosFALSE","se.confia_muchobastante_carabinerosTRUE"
"Aisen",0.70071765500245,0.29928234499755,0.0290622724227511,0.0290622724227511
"Alto Hospicio",0.845648906797993,0.154351093202007,0.0150053037579618,0.0150053037579618
"Ancud",0.702551607971009,0.297448392028991,0.0295307739677334,0.0295307739677334
"Angol",0.751339890519677,0.248660109480323,0.0285504341332703,0.0285504341332703
"Antofagasta",0.839515796443047,0.160484203556953,0.0150944428282151,0.0150944428282151
"Arica",0.763185518586055,0.236814481413945,0.013921509064927,0.013921509064927
"Buin",0.837197060130806,0.162802939869194,0.0276625419011969,0.0276625419011969
"Bulnes",0.680447967053186,0.319552032946814,0.0551557547772829,0.0551557547772829
"Calama",0.890017762194922,0.109982237805078,0.0138756244395342,0.0138756244395342
"Calbuco",0.747775916639289,0.252224083360711,0.0308729492483859,0.0308729492483859
"Calera",0.835459994426083,0.164540005573917,0.0260405071063329,0.0260405071063329
"Castro",0.747950818091475,0.252049181908525,0.0306094206145167,0.0306094206145167
"Cauquenes",0.70530053728109,0.29469946271891,0.0309124198341648,0.0309124198341648
"Cerrillos",0.873212027729063,0.126787972270937,0.0222570344744554,0.0222570344744554
"Cerro Navia",0.934109135130746,0.0658908648692538,0.0201229425345198,0.0201229425345198
"Chanaral",0.903431634125484,0.0965683658745159,0.0297196477411919,0.0297196477411919
"Chiguayante",0.712544054448924,0.287455945551076,0.0307366979538428,0.0307366979538428
"Chillan",0.753833420209171,0.246166579790829,0.0227722354889653,0.0227722354889653
"Chillan Viejo",0.695869276010455,0.304130723989545,0.0339456144514233,0.0339456144514233
"Chimbarongo",0.793551500114497,0.206448499885503,0.0292548706708106,0.0292548706708106
"Coihaique",0.724855065377107,0.275144934622893,0.0215319567837928,0.0215319567837928
"Coihueco",0.658829010369317,0.341170989630683,0.0591847339855191,0.0591847339855191
"Colina",0.877881597322167,0.122118402677833,0.0258161447097124,0.0258161447097124
"Collipulli",0.771600527153426,0.228399472846574,0.0360302952872576,0.0360302952872576
"Concepcion",0.741998688375721,0.258001311624279,0.0169501483806777,0.0169501483806777
"Conchali",0.878219644760428,0.121780355239572,0.0168708775717701,0.0168708775717701
"Concon",0.788927927914029,0.211072072085971,0.0307091632577467,0.0307091632577467
"Constitucion",0.753471225997824,0.246528774002176,0.0253094282754991,0.0253094282754991
"Copiapo",0.799483408910969,0.200516591089031,0.0196112756557709,0.0196112756557709
"Coquimbo",0.77811137457527,0.22188862542473,0.0216085361941584,0.0216085361941584
"Coronel",0.747813598997585,0.252186401002415,0.0222100151570069,0.0222100151570069
"Curico",0.813311128545577,0.186688871454423,0.0161934048669348,0.0161934048669348
"Donihue",0.669634011304105,0.330365988695895,0.0382849165271416,0.0382849165271416
"El Bosque",0.843827241158142,0.156172758841858,0.0287111566505277,0.0287111566505277
"Estacion Central",0.798866790235679,0.201133209764322,0.0250168093044199,0.0250168093044199
"Graneros",0.891258608931953,0.108741391068047,0.026113139796922,0.026113139796922
"Hualpen",0.778071808532903,0.221928191467097,0.0253532869061601,0.0253532869061601
"Huechuraba",0.90167294028937,0.0983270597106296,0.0248441925297758,0.0248441925297758
"Illapel",0.74740778974032,0.25259221025968,0.026254632767895,0.026254632767895
"Independencia",0.799529385469575,0.200470614530425,0.0332342663499596,0.0332342663499596
"Iquique",0.770290229730484,0.229709770269516,0.0187312863684787,0.0187312863684787
"La Cisterna",0.872139309629219,0.127860690370781,0.0258419506694171,0.0258419506694171
"La Florida",0.836562937465408,0.163437062534592,0.0176009072626703,0.0176009072626702
"La Granja",0.871175628954482,0.128824371045518,0.0199236941156249,0.0199236941156249
"La Ligua",0.714540477066866,0.285459522933134,0.0358686888846166,0.0358686888846166
"La Pintana",0.911175304547845,0.0888246954521547,0.0235942962328992,0.0235942962328992
"La Reina",0.718144603280535,0.281855396719465,0.0292738752325904,0.0292738752325904
"La Serena",0.728442646724899,0.271557353275101,0.0186294606812547,0.0186294606812547
"La Union",0.709173029999074,0.290826970000926,0.0212346396417552,0.0212346396417552
"Lampa",0.863171142420428,0.136828857579572,0.0198348155760552,0.0198348155760553
"Las Condes",0.659457308749297,0.340542691250703,0.0294860122680653,0.0294860122680653
"Lautaro",0.720738521294367,0.279261478705633,0.0346173720158279,0.0346173720158279
"Lebu",0.772931867609412,0.227068132390588,0.027255173435022,0.027255173435022
"Limache",0.761222968495178,0.238777031504822,0.0293150221163801,0.0293150221163801
"Linares",0.810030498643094,0.189969501356906,0.018212143226852,0.018212143226852
"Lo Barnechea",0.746144422518761,0.253855577481239,0.0353821331947468,0.0353821331947468
"Lo Espejo",0.868668166343799,0.131331833656202,0.021857391213318,0.021857391213318
"Lo Prado",0.835803483694709,0.164196516305291,0.02608029188644,0.02608029188644
"Loncoche",0.79577871509031,0.20422128490969,0.0314368668814885,0.0314368668814885
"Los Andes",0.788832760660147,0.211167239339853,0.023082230356644,0.023082230356644
"Los Angeles",0.762469004623307,0.237530995376693,0.023239374632254,0.023239374632254
"Los Vilos",0.775610107287349,0.224389892712651,0.0272082451501567,0.0272082451501567
"Lota",0.814061952014598,0.185938047985402,0.0253649563088155,0.0253649563088155
"Machali",0.816889656031691,0.183110343968309,0.0226715135834692,0.0226715135834692
"Macul",0.83576324467481,0.16423675532519,0.0218610743754208,0.0218610743754208
"Maipu",0.875143996304156,0.124856003695844,0.0172216686223275,0.0172216686223275
"Maule",0.787793490074474,0.212206509925526,0.0291991433222675,0.0291991433222675
"Melipilla",0.833803645830226,0.166196354169774,0.0234206226230605,0.0234206226230605
"Molina",0.777349953406164,0.222650046593836,0.0344683985939042,0.0344683985939042
"Mostazal",0.673991493320606,0.326008506679393,0.0557514783356147,0.0557514783356147
"Natales",0.692414499416778,0.307585500583222,0.0259079032720593,0.0259079032720593
"Nueva Imperial",0.747464878405786,0.252535121594214,0.0547800367818574,0.0547800367818574
"Nunoa",0.724901650062414,0.275098349937586,0.0254981369763935,0.0254981369763935
"Osorno",0.786949330584974,0.213050669415026,0.0196557809274211,0.0196557809274211
"Ovalle",0.846192939402604,0.153807060597395,0.0181754514403534,0.0181754514403534
"Padre Hurtado",0.928250365131075,0.0717496348689252,0.0137324041310743,0.0137324041310743
"Padre Las Casas",0.764166285630959,0.235833714369041,0.0289306724993782,0.0289306724993782
"Paillaco",0.766285639888043,0.233714360111957,0.0303540512385845,0.0303540512385845
"Paine",0.772832797265679,0.227167202734321,0.0255511416170898,0.0255511416170898
"Panguipulli",0.720411791262701,0.279588208737299,0.040526606722645,0.040526606722645
"Parral",0.794168343173895,0.205831656826105,0.0309005046667767,0.0309005046667767
