"comuna","confia_muchobastante_pdiFALSE","confia_muchobastante_pdiTRUE","se.confia_muchobastante_pdiFALSE","se.confia_muchobastante_pdiTRUE"
"Aisen",0.739058436879522,0.260941563120478,0.0300999897214598,0.0300999897214598
"Alto Hospicio",0.886692487642275,0.113307512357725,0.0136050594232477,0.0136050594232477
"Ancud",0.839056150362859,0.160943849637141,0.0218094994068455,0.0218094994068455
"Angol",0.741680552071197,0.258319447928803,0.0297928329214582,0.0297928329214582
"Antofagasta",0.82196595689118,0.17803404310882,0.0159711771249328,0.0159711771249328
"Arica",0.767647382199552,0.232352617800448,0.0144971802081682,0.0144971802081682
"Buin",0.849547574998984,0.150452425001016,0.0302446972820497,0.0302446972820497
"Bulnes",0.721769638521921,0.278230361478079,0.0542521571498182,0.0542521571498182
"Calama",0.885638962840865,0.114361037159135,0.0153821297406338,0.0153821297406338
"Calbuco",0.839860937035468,0.160139062964532,0.035017266835623,0.035017266835623
"Calera",0.865098541913377,0.134901458086623,0.0219132217488752,0.0219132217488752
"Castro",0.826791654194865,0.173208345805135,0.0269596270930351,0.0269596270930351
"Cauquenes",0.737575050956559,0.262424949043441,0.0312201981420682,0.0312201981420682
"Cerrillos",0.866677415292991,0.133322584707009,0.0235241169731037,0.0235241169731037
"Cerro Navia",0.931175998878704,0.0688240011212965,0.0178105469123976,0.0178105469123976
"Chanaral",0.884345867680885,0.115654132319115,0.0273282451942561,0.0273282451942561
"Chiguayante",0.7344284173684,0.2655715826316,0.0281754986057387,0.0281754986057387
"Chillan",0.773148026825701,0.226851973174299,0.0213173653876682,0.0213173653876682
"Chillan Viejo",0.709178248377416,0.290821751622584,0.0360674126817522,0.0360674126817523
"Chimbarongo",0.833216020114383,0.166783979885617,0.0292447931624866,0.0292447931624866
"Coihaique",0.783941483365893,0.216058516634107,0.0210284586066126,0.0210284586066126
"Coihueco",0.668447768861555,0.331552231138445,0.0733511313737999,0.0733511313737999
"Colina",0.895012633208513,0.104987366791487,0.0195299370572375,0.0195299370572375
"Collipulli",0.935221646630837,0.0647783533691633,0.018775139113309,0.018775139113309
"Concepcion",0.810220518741736,0.189779481258264,0.0165666654371298,0.0165666654371298
"Conchali",0.866825749587471,0.133174250412529,0.0197973424983041,0.0197973424983041
"Concon",0.815018568014075,0.184981431985925,0.0308483777089235,0.0308483777089235
"Constitucion",0.772790259676347,0.227209740323653,0.0260160568618152,0.0260160568618152
"Copiapo",0.859148011277356,0.140851988722644,0.0158444366406684,0.0158444366406684
"Coquimbo",0.834936860054627,0.165063139945373,0.0190531603202556,0.0190531603202556
"Coronel",0.765225057534408,0.234774942465592,0.0281361210498046,0.0281361210498046
"Curico",0.8534963837333,0.146503616266701,0.0141211155687101,0.0141211155687101
"Donihue",0.530611331836066,0.469388668163934,0.0297425346295078,0.0297425346295078
"El Bosque",0.839168964064106,0.160831035935894,0.0298112372058041,0.0298112372058041
"Estacion Central",0.782392341213162,0.217607658786838,0.0311748853876888,0.0311748853876888
"Graneros",0.883768841553751,0.116231158446249,0.0275174372069617,0.0275174372069617
"Hualpen",0.731814227004558,0.268185772995442,0.0270431101899858,0.0270431101899858
"Huechuraba",0.9270227506517,0.0729772493482999,0.0173488484960126,0.0173488484960126
"Illapel",0.894088912276745,0.105911087723255,0.0160820406871997,0.0160820406871997
"Independencia",0.807913666894482,0.192086333105518,0.0334883542170816,0.0334883542170816
"Iquique",0.777845863879937,0.222154136120062,0.020616276760119,0.020616276760119
"La Cisterna",0.836712086482142,0.163287913517858,0.0297662654651942,0.0297662654651942
"La Florida",0.852657342399524,0.147342657600476,0.018506288221966,0.018506288221966
"La Granja",0.897984805863383,0.102015194136617,0.0190855108045993,0.0190855108045993
"La Ligua",0.71301043924792,0.28698956075208,0.0246628037669073,0.0246628037669073
"La Pintana",0.888265144813614,0.111734855186386,0.0220318091723077,0.0220318091723077
"La Reina",0.779185294213059,0.220814705786941,0.0264818125195085,0.0264818125195085
"La Serena",0.678487301563368,0.321512698436632,0.0223531842767433,0.0223531842767433
"La Union",0.74832057165702,0.25167942834298,0.0247496734598966,0.0247496734598966
"Lampa",0.868279827372716,0.131720172627284,0.0201001871739813,0.0201001871739813
"Las Condes",0.694277409161875,0.305722590838125,0.0248223819536503,0.0248223819536503
"Lautaro",0.728914726069895,0.271085273930105,0.0359215212542766,0.0359215212542766
"Lebu",0.816142819870591,0.183857180129409,0.0165079640663565,0.0165079640663565
"Limache",0.813611578015999,0.186388421984001,0.02582681796278,0.02582681796278
"Linares",0.809420320050976,0.190579679949024,0.0193657581509866,0.0193657581509866
"Lo Barnechea",0.737948249923355,0.262051750076645,0.0342251840190952,0.0342251840190952
"Lo Espejo",0.908380157279656,0.0916198427203437,0.0166557191190236,0.0166557191190236
"Lo Prado",0.873461989821793,0.126538010178207,0.026569231606881,0.026569231606881
"Loncoche",0.883604807678296,0.116395192321704,0.0165525196234256,0.0165525196234256
"Los Andes",0.860553187940221,0.139446812059779,0.0212010602072303,0.0212010602072303
"Los Angeles",0.840616975408677,0.159383024591323,0.0286444070701944,0.0286444070701944
"Los Vilos",0.811307834561732,0.188692165438268,0.0268297807984229,0.0268297807984229
"Lota",0.794254942070098,0.205745057929902,0.0266785301312366,0.0266785301312366
"Machali",0.816005813271005,0.183994186728995,0.0232089143341281,0.0232089143341281
"Macul",0.87665547675704,0.12334452324296,0.0174018055062552,0.0174018055062552
"Maipu",0.881839493118775,0.118160506881226,0.0162120654279052,0.0162120654279052
"Maule",0.794469642578563,0.205530357421437,0.0254862567141682,0.0254862567141682
"Melipilla",0.841344709856295,0.158655290143705,0.0251461074478488,0.0251461074478488
"Molina",0.814722975340033,0.185277024659967,0.0273203697025611,0.0273203697025611
"Mostazal",0.738025820564406,0.261974179435594,0.0366881311023197,0.0366881311023197
"Natales",0.6857717056552,0.3142282943448,0.0280975150309886,0.0280975150309886
"Nueva Imperial",0.896386081152958,0.103613918847042,0.029047339705264,0.029047339705264
"Nunoa",0.749741934354189,0.250258065645811,0.0242110893658274,0.0242110893658274
"Osorno",0.798289233616085,0.201710766383915,0.0237211637113021,0.0237211637113021
"Ovalle",0.823450088426712,0.176549911573288,0.0200869370995444,0.0200869370995444
"Padre Hurtado",0.944576976674896,0.0554230233251038,0.0133140354271367,0.0133140354271367
"Padre Las Casas",0.800369134098725,0.199630865901275,0.0363163962001637,0.0363163962001637
"Paillaco",0.818559345169018,0.181440654830982,0.0376283954867462,0.0376283954867462
"Paine",0.835356336347735,0.164643663652265,0.0225954536643972,0.0225954536643972
"Panguipulli",0.643881204803741,0.356118795196259,0.0288791653789773,0.0288791653789773
"Parral",0.834653009949861,0.165346990050139,0.0314032061682021,0.0314032061682021
"Pedro Aguirre Cerda",0.794659324192417,0.205340675807583,0.029615946784062,0.029615946784062
"Penaflor",0.786021343344851,0.213978656655149,0.0291409402529346,0.0291409402529346
"Penalolen",0.727737962275819,0.272262037724181,0.0297547112184641,0.0297547112184641
"Penco",0.758076732315345,0.241923267684655,0.0257067457513946,0.0257067457513946
"Pichilemu",0.808719343721196,0.191280656278804,0.0251107277906895,0.0251107277906895
"Pitrufquen",0.861916286993596,0.138083713006404,0.0360676067737382,0.0360676067737382
"Pozo Almonte",0.87700975668311,0.12299024331689,0.0360122581558778,0.0360122581558778
"Providencia",0.744008979801048,0.255991020198952,0.0226614003300174,0.0226614003300174
"Pucon",0.951419781827894,0.0485802181721061,0.0167406252041642,0.0167406252041642
"Pudahuel",0.856831889287733,0.143168110712267,0.025489875108175,0.025489875108175
"Puente Alto",0.916367911323451,0.0836320886765493,0.0130681513730827,0.0130681513730827
"Puerto Montt",0.808547679876392,0.191452320123608,0.0210711509776849,0.0210711509776849
"Puerto Varas",0.84007953675325,0.15992046324675,0.0253999947180955,0.0253999947180955
"Punta Arenas",0.716918036634221,0.283081963365779,0.0167002385123624,0.0167002385123624
"Quellon",0.843565720826249,0.156434279173751,0.0375641732585032,0.0375641732585032
"Quilicura",0.808027211106448,0.191972788893552,0.023202755134065,0.023202755134065
"Quillon",0.887800927906272,0.112199072093728,0.0267601823980089,0.0267601823980089
"Quillota",0.729561154376363,0.270438845623636,0.0311812102038667,0.0311812102038667
"Quilpue",0.73892403406454,0.26107596593546,0.0214754341203378,0.0214754341203378
"Quinta Normal",0.808247081602785,0.191752918397215,0.0232164199567615,0.0232164199567615
"Quirihue",0.876757500793604,0.123242499206396,0.0284395441719348,0.0284395441719348
"Rancagua",0.777328259870004,0.222671740129996,0.0314443847918103,0.0314443847918103
"Recoleta",0.835762429705311,0.164237570294689,0.021453253143937,0.021453253143937
"Renca",0.874577775289771,0.125422224710229,0.021326302779072,0.021326302779072
"Rengo",0.841035061272162,0.158964938727838,0.0242948834360548,0.0242948834360548
"Rio Bueno",0.914125594018271,0.0858744059817289,0.0211800474095129,0.0211800474095129
"San Antonio",0.864810806589528,0.135189193410472,0.0241746664711592,0.0241746664711592
"San Bernardo",0.818904993388508,0.181095006611492,0.0207312193951686,0.0207312193951686
"San Carlos",0.765793550886158,0.234206449113842,0.0268725758968519,0.0268725758968519
"San Felipe",0.839605303182338,0.160394696817662,0.0210166440271293,0.0210166440271293
