"comuna","confia_muchobastante_policiasFALSE","confia_muchobastante_policiasTRUE","se.confia_muchobastante_policiasFALSE","se.confia_muchobastante_policiasTRUE"
"Aisen",0.616137152037378,0.383862847962622,0.0332230837813209,0.0332230837813209
"Alto Hospicio",0.798623066250598,0.201376933749402,0.0171421214304597,0.0171421214304597
"Ancud",0.635829361707594,0.364170638292406,0.0286999340591763,0.0286999340591763
"Angol",0.621108726032563,0.378891273967437,0.033085793956312,0.033085793956312
"Antofagasta",0.743622763682525,0.256377236317475,0.018753341743601,0.018753341743601
"Arica",0.661192931367144,0.338807068632856,0.016026993939614,0.016026993939614
"Buin",0.760817997386056,0.239182002613944,0.0296556329648728,0.0296556329648728
"Bulnes",0.585404247645017,0.414595752354983,0.0627708812502667,0.0627708812502667
"Calama",0.823927102624685,0.176072897375315,0.0183251701826057,0.0183251701826057
"Calbuco",0.668889767990997,0.331110232009003,0.0359967077175533,0.0359967077175533
"Calera",0.77592184900473,0.22407815099527,0.0314799554774533,0.0314799554774533
"Castro",0.672055214948285,0.327944785051715,0.0343054171441413,0.0343054171441413
"Cauquenes",0.62924127909611,0.37075872090389,0.0300957800480716,0.0300957800480716
"Cerrillos",0.827031806042024,0.172968193957976,0.0238781533067243,0.0238781533067243
"Cerro Navia",0.899562079397087,0.100437920602913,0.0219919669802669,0.0219919669802669
"Chanaral",0.862146190376361,0.137853809623639,0.0333736762620674,0.0333736762620674
"Chiguayante",0.581880914113263,0.418119085886737,0.0311541010357827,0.0311541010357827
"Chillan",0.664858763502948,0.335141236497052,0.0250257770918071,0.0250257770918071
"Chillan Viejo",0.59556385182878,0.40443614817122,0.037712769730828,0.037712769730828
"Chimbarongo",0.701899283758026,0.298100716241974,0.0355650345798854,0.0355650345798854
"Coihaique",0.649757422131709,0.350242577868291,0.0234367936886869,0.0234367936886869
"Coihueco",0.515506799186411,0.484493200813589,0.0773152194678429,0.0773152194678429
"Colina",0.823665008955793,0.176334991044207,0.0258958688434469,0.0258958688434469
"Collipulli",0.738149631742637,0.261850368257363,0.0360027741056263,0.0360027741056263
"Concepcion",0.656434637221757,0.343565362778243,0.0188619400087903,0.0188619400087903
"Conchali",0.79334982451825,0.20665017548175,0.0220079250533507,0.0220079250533507
"Concon",0.71627242415378,0.28372757584622,0.035858680740318,0.035858680740318
"Constitucion",0.665354293026064,0.334645706973936,0.025420748018979,0.025420748018979
"Copiapo",0.745045608038779,0.254954391961221,0.0208886577534328,0.0208886577534328
"Coquimbo",0.730701551484104,0.269298448515896,0.0244593403561012,0.0244593403561012
"Coronel",0.643928479759197,0.356071520240803,0.0305085427118545,0.0305085427118545
"Curico",0.746041749670066,0.253958250329934,0.0171986711985414,0.0171986711985414
"Donihue",0.485923125803366,0.514076874196634,0.0356402188663685,0.0356402188663685
"El Bosque",0.775065363908222,0.224934636091778,0.0352480854223585,0.0352480854223585
"Estacion Central",0.715379786564206,0.284620213435794,0.0298824315693825,0.0298824315693825
"Graneros",0.833628942438718,0.166371057561282,0.032216578168606,0.032216578168606
"Hualpen",0.65864859648166,0.34135140351834,0.0303280564283349,0.0303280564283349
