"comuna","si_arma_en_casaFALSE","si_arma_en_casaTRUE","se.si_arma_en_casaFALSE","se.si_arma_en_casaTRUE"
"Aisen",0.970880372336287,0.0291196276637125,0.011607279873127,0.011607279873127
"Alto Hospicio",0.988805083572656,0.0111949164273437,0.00422600516812237,0.00422600516812237
"Ancud",0.979838722051911,0.0201612779480884,0.00879680397876959,0.00879680397876959
"Angol",0.911054932184289,0.0889450678157113,0.0216891905055355,0.0216891905055355
"Antofagasta",0.97440931892915,0.0255906810708499,0.00696581491337186,0.00696581491337186
"Arica",0.978846767269263,0.0211532327307373,0.0039758823367321,0.0039758823367321
"Buin",0.979407164479515,0.0205928355204852,0.010805184403165,0.010805184403165
"Bulnes",0.928430903191652,0.0715690968083479,0.0230699840611916,0.0230699840611916
"Calama",0.986302148021224,0.0136978519787757,0.00565305205977981,0.00565305205977981
"Calbuco",0.985493964365524,0.0145060356344764,0.00813829815997417,0.00813829815997417
"Calera",0.960979789151081,0.0390202108489193,0.0119994724619545,0.0119994724619545
"Castro",0.977240327125419,0.022759672874581,0.0119673114536259,0.0119673114536259
"Cauquenes",0.95189358049042,0.0481064195095803,0.0129216674467272,0.0129216674467272
"Cerrillos",0.948395982382349,0.0516040176176505,0.0129717997245463,0.0129717997245463
"Cerro Navia",0.991195907100522,0.00880409289947758,0.00870504966081742,0.00870504966081742
"Chanaral",0.969379274829083,0.0306207251709165,0.013257067886693,0.013257067886693
"Chiguayante",0.940132751451047,0.0598672485489534,0.0168996330690906,0.0168996330690906
"Chillan",0.956238784859514,0.0437612151404857,0.00984516147441233,0.00984516147441233
"Chillan Viejo",0.948444102722983,0.0515558972770173,0.013230196033742,0.013230196033742
"Chimbarongo",0.934976040901799,0.065023959098201,0.0173425349130388,0.0173425349130388
"Coihaique",0.956416511658148,0.0435834883418523,0.00964348961476872,0.00964348961476872
"Coihueco",0.908228096810947,0.0917719031890532,0.0364962908405764,0.0364962908405764
"Colina",0.968431326145174,0.0315686738548264,0.0133691858081028,0.0133691858081028
"Collipulli",0.965008019883702,0.0349919801162983,0.0149199262792343,0.0149199262792343
"Concepcion",0.949256135171041,0.0507438648289586,0.00933127499701193,0.00933127499701192
"Conchali",0.965159994676919,0.0348400053230812,0.00946888780651792,0.00946888780651792
"Concon",0.927433323520722,0.0725666764792784,0.0199001224055375,0.0199001224055375
"Constitucion",0.935563269807083,0.0644367301929166,0.0166410351825279,0.0166410351825279
"Copiapo",0.987849888043474,0.0121501119565261,0.00511672041003286,0.00511672041003286
"Coquimbo",0.973104222883135,0.026895777116865,0.0103177056099972,0.0103177056099972
"Coronel",0.953339270118779,0.0466607298812216,0.0109367119924344,0.0109367119924344
"Curico",0.95408735686167,0.0459126431383303,0.00783585607618368,0.00783585607618368
"Donihue",1,0,0,0
"El Bosque",0.979946255708262,0.0200537442917384,0.00882055185176641,0.00882055185176641
"Estacion Central",0.958586348630265,0.0414136513697347,0.014699412779375,0.014699412779375
"Graneros",0.955594175867567,0.0444058241324329,0.0173273677543421,0.0173273677543421
