"comuna","si_medida_seguridad_cercoFALSE","si_medida_seguridad_cercoTRUE","se.si_medida_seguridad_cercoFALSE","se.si_medida_seguridad_cercoTRUE"
"Aisen",0.995860995115473,0.00413900488452715,0.00411164295723051,0.00411164295723051
"Alto Hospicio",0.860487822365826,0.139512177634174,0.0261224416852666,0.0261224416852666
"Ancud",0.984790134068256,0.0152098659317437,0.00888337508875004,0.00888337508875004
"Angol",0.900883299883333,0.0991167001166672,0.045899296312917,0.045899296312917
"Antofagasta",0.867830342580366,0.132169657419634,0.0178702659348056,0.0178702659348056
"Arica",0.952298524644241,0.0477014753557592,0.00758172740384684,0.00758172740384684
"Buin",0.966288642247339,0.0337113577526609,0.0154086870226656,0.0154086870226656
"Bulnes",0.994154463554698,0.00584553644530207,0.00587602554734731,0.00587602554734732
"Calama",0.954240872051181,0.0457591279488192,0.012519978359814,0.012519978359814
"Calbuco",0.992619395778278,0.00738060422172189,0.00736967440191249,0.00736967440191249
"Calera",0.975496735438277,0.0245032645617231,0.00991200735373707,0.00991200735373707
"Castro",0.900739371268347,0.0992606287316533,0.019910217421374,0.019910217421374
"Cauquenes",0.986968701633483,0.0130312983665171,0.00577749594270372,0.00577749594270372
"Cerrillos",0.972532779065433,0.027467220934567,0.0114011970418945,0.0114011970418945
"Cerro Navia",0.967652994963352,0.032347005036648,0.0142100514340044,0.0142100514340044
"Chanaral",0.973774326640422,0.0262256733595783,0.0131666387288928,0.0131666387288928
"Chiguayante",0.903923961694892,0.0960760383051085,0.0194285053435798,0.0194285053435798
"Chillan",0.940248728606431,0.0597512713935693,0.0126658411767523,0.0126658411767523
"Chillan Viejo",0.984620809271333,0.0153791907286672,0.00836722103455376,0.00836722103455376
"Chimbarongo",0.857134253203489,0.142865746796511,0.039262107397596,0.039262107397596
"Coihaique",0.971154576614264,0.0288454233857364,0.00727809420835687,0.00727809420835687
"Coihueco",1,0,8.79066758490457e-18,0
"Colina",0.923630965220002,0.0763690347799983,0.0228868848800207,0.0228868848800207
"Collipulli",0.361577236326408,0.638422763673592,0.0816508080048375,0.0816508080048375
"Concepcion",0.885846357669089,0.114153642330911,0.0179207713511899,0.0179207713511899
"Conchali",0.975720569746107,0.0242794302538928,0.00823582884431042,0.00823582884431042
"Concon",0.831267716205685,0.168732283794315,0.0401285776749215,0.0401285776749215
"Constitucion",0.988701719625227,0.0112982803747726,0.0063655148992052,0.0063655148992052
"Copiapo",0.908432878955116,0.0915671210448837,0.0165953839585559,0.0165953839585559
"Coquimbo",0.929590737623385,0.0704092623766147,0.0149856734681889,0.0149856734681889
"Coronel",0.940900133955088,0.0590998660449116,0.0139428469391877,0.0139428469391877
"Curico",0.981312903016819,0.0186870969831807,0.00685231831060186,0.00685231831060186
"Donihue",0.991247902173257,0.00875209782674343,0.00881810371745956,0.00881810371745956
"El Bosque",0.955454033173285,0.0445459668267152,0.0210626199776962,0.0210626199776962
"Estacion Central",0.935430606762267,0.0645693932377332,0.0180522254226603,0.0180522254226603
"Graneros",0.982825719194778,0.0171742808052221,0.00874949804836469,0.00874949804836469
"Hualpen",0.909794532384722,0.0902054676152784,0.0213912332203139,0.0213912332203139
"Huechuraba",0.91016790774332,0.0898320922566799,0.0427766679503406,0.0427766679503406
"Illapel",0.991020746162911,0.00897925383708874,0.00639668159562065,0.00639668159562065
"Independencia",0.875440272026276,0.124559727973724,0.0436488241553821,0.0436488241553821
"Iquique",0.974735564464865,0.0252644355351352,0.00634833478406533,0.00634833478406533
"La Cisterna",0.876562888893116,0.123437111106884,0.0286548340835113,0.0286548340835112
"La Florida",0.924977357940693,0.0750226420593072,0.0237686697516071,0.0237686697516071
"La Granja",0.986620797204198,0.013379202795802,0.00978531761029952,0.00978531761029952
"La Ligua",1,0,5.4433915040218e-18,0
"La Pintana",0.993767987012969,0.00623201298703077,0.00619383518512588,0.00619383518512588
"La Reina",0.914696372871127,0.0853036271288733,0.0176858501337061,0.0176858501337061
"La Serena",0.92355203652369,0.0764479634763104,0.01780076208998,0.01780076208998
"La Union",0.965311075625519,0.0346889243744807,0.0102906709486666,0.0102906709486666
"Lampa",0.952809355223575,0.0471906447764246,0.0182451999818667,0.0182451999818667
"Las Condes",0.733487547594216,0.266512452405784,0.0308284492859798,0.0308284492859798
"Lautaro",0.896812804109066,0.103187195890934,0.0268943125220069,0.0268943125220069
"Lebu",0.947372096958091,0.0526279030419091,0.0212764557469129,0.0212764557469129
"Limache",0.92211104675357,0.0778889532464295,0.0206404367215454,0.0206404367215454
"Linares",0.980913490715383,0.019086509284617,0.00732228001056384,0.00732228001056384
"Lo Barnechea",0.586813401582388,0.413186598417612,0.0679140382223499,0.0679140382223499
"Lo Espejo",0.987827433835906,0.0121725661640943,0.00531714756191304,0.00531714756191304
"Lo Prado",0.964026278474373,0.0359737215256266,0.0209066234239846,0.0209066234239846
"Loncoche",0.131125303690755,0.868874696309245,0.0291737224755229,0.0291737224755229
"Los Andes",0.977981010329814,0.022018989670186,0.00918889749128879,0.00918889749128879
"Los Angeles",0.931054502391864,0.0689454976081362,0.0203636898456638,0.0203636898456638
"Los Vilos",1,0,0,0
"Lota",0.963754383943499,0.0362456160565013,0.0111430466043418,0.0111430466043418
