"comuna","si_medida_seguridad_rejasFALSE","si_medida_seguridad_rejasTRUE","se.si_medida_seguridad_rejasFALSE","se.si_medida_seguridad_rejasTRUE"
"Aisen",0.973265688749018,0.0267343112509823,0.00940916799538322,0.00940916799538322
"Alto Hospicio",0.498670125057735,0.501329874942265,0.0289772082183594,0.0289772082183594
"Ancud",0.901556135665679,0.0984438643343209,0.0171920445286131,0.0171920445286131
"Angol",0.670399607590475,0.329600392409525,0.0432615224338454,0.0432615224338454
"Antofagasta",0.366870241268055,0.633129758731945,0.0322367870025903,0.0322367870025903
"Arica",0.524799331016339,0.475200668983661,0.0183989815618215,0.0183989815618215
"Buin",0.533504671177781,0.466495328822219,0.0489535398245127,0.0489535398245126
"Bulnes",0.721993964751948,0.278006035248052,0.0435132833788432,0.0435132833788432
"Calama",0.265926808622052,0.734073191377948,0.034732313495311,0.034732313495311
"Calbuco",0.418406558825331,0.581593441174669,0.0549289021988966,0.0549289021988966
"Calera",0.3239210195237,0.6760789804763,0.0295148634416462,0.0295148634416462
"Castro",0.884739952871185,0.115260047128815,0.0229970594724284,0.0229970594724284
"Cauquenes",0.534989355661425,0.465010644338575,0.0477779613855879,0.0477779613855879
"Cerrillos",0.28700346818973,0.71299653181027,0.0355094334801931,0.0355094334801931
"Cerro Navia",0.232083027755846,0.767916972244154,0.0331333232805108,0.0331333232805108
"Chanaral",0.456441785051784,0.543558214948216,0.0496784907564446,0.0496784907564446
"Chiguayante",0.622500416754052,0.377499583245948,0.0356139630067201,0.0356139630067201
"Chillan",0.392773176837368,0.607226823162632,0.0266911919344949,0.0266911919344949
"Chillan Viejo",0.447733139882197,0.552266860117803,0.0495185163786072,0.0495185163786072
"Chimbarongo",0.718107367855206,0.281892632144794,0.0394139581759693,0.0394139581759693
"Coihaique",0.965762893058988,0.0342371069410115,0.00753607638418645,0.00753607638418645
"Coihueco",0.785174186710607,0.214825813289393,0.0485232978898368,0.0485232978898368
"Colina",0.51451243387679,0.48548756612321,0.05011086871629,0.05011086871629
"Collipulli",0.752965364113029,0.247034635886971,0.0411556348683395,0.0411556348683395
"Concepcion",0.5046034929748,0.4953965070252,0.0294473880097788,0.0294473880097788
"Conchali",0.253114603350963,0.746885396649037,0.0248165833074759,0.0248165833074759
"Concon",0.678620684665623,0.321379315334377,0.0307667548638373,0.0307667548638373
"Constitucion",0.588109555012824,0.411890444987176,0.0500127332524906,0.0500127332524906
"Copiapo",0.312607666148567,0.687392333851433,0.0319319079594169,0.0319319079594169
"Coquimbo",0.267014439025308,0.732985560974692,0.0345043834112233,0.0345043834112233
"Coronel",0.405133809909058,0.594866190090942,0.0345441304788529,0.0345441304788529
"Curico",0.448952820709003,0.551047179290997,0.0254787385989462,0.0254787385989462
"Donihue",0.0711099321750021,0.928890067824998,0.0245755123310189,0.0245755123310189
"El Bosque",0.231770143422498,0.768229856577502,0.0336188874015938,0.0336188874015938
"Estacion Central",0.45843634458546,0.54156365541454,0.0480129014842678,0.0480129014842678
"Graneros",0.667396366230571,0.332603633769429,0.0422063467524196,0.0422063467524196
"Hualpen",0.328843298476738,0.671156701523262,0.0392907557084968,0.0392907557084968
"Huechuraba",0.536006409913922,0.463993590086078,0.060144244183216,0.060144244183216
"Illapel",0.446302098083459,0.553697901916541,0.0267032631150271,0.0267032631150271
"Independencia",0.429155766165898,0.570844233834102,0.0666993532474791,0.0666993532474791
"Iquique",0.444832698495828,0.555167301504172,0.0282386847610196,0.0282386847610196
"La Cisterna",0.427774357147018,0.572225642852982,0.0422084907483532,0.0422084907483532
"La Florida",0.257573933720088,0.742426066279912,0.0262679859523995,0.0262679859523995
"La Granja",0.179704172633644,0.820295827366356,0.029416876796015,0.029416876796015
"La Ligua",0.493521906125119,0.506478093874881,0.0458380073191235,0.0458380073191235
"La Pintana",0.295973810386492,0.704026189613508,0.0383638231470401,0.0383638231470401
"La Reina",0.379098835006257,0.620901164993743,0.0458284613963676,0.0458284613963676
"La Serena",0.347107529993098,0.652892470006902,0.0299069370153324,0.0299069370153324
"La Union",0.895168558295939,0.104831441704061,0.019398612993278,0.019398612993278
"Lampa",0.495309558182889,0.504690441817111,0.0363608847700125,0.0363608847700125
"Las Condes",0.357519795689835,0.642480204310165,0.0392653500455436,0.0392653500455436
"Lautaro",0.911033209496762,0.0889667905032382,0.0197659009789325,0.0197659009789325
"Lebu",0.677956418322544,0.322043581677456,0.0484733132268126,0.0484733132268126
"Limache",0.472331236714132,0.527668763285868,0.0397475834445131,0.0397475834445131
"Linares",0.411112152285441,0.588887847714559,0.0311413454837688,0.0311413454837688
"Lo Barnechea",0.387117294392634,0.612882705607366,0.0521514643518038,0.0521514643518038
"Lo Espejo",0.150693889138139,0.849306110861861,0.0252291849109443,0.0252291849109443
"Lo Prado",0.157118712002614,0.842881287997386,0.0281948555223012,0.0281948555223012
"Loncoche",0.81161101539442,0.18838898460558,0.0325225409465613,0.0325225409465613
"Los Andes",0.459978818226351,0.540021181773649,0.035004181150557,0.035004181150557
"Los Angeles",0.367535949175765,0.632464050824235,0.0384369050676025,0.0384369050676025
"Los Vilos",0.633782316607432,0.366217683392568,0.0427146071986057,0.0427146071986057
"Lota",0.38237754228665,0.61762245771335,0.0392222050699495,0.0392222050699495
"Machali",0.656088722142552,0.343911277857448,0.0376172357121681,0.0376172357121681
"Macul",0.411932041864205,0.588067958135795,0.036887134567433,0.036887134567433
"Maipu",0.194705160335176,0.805294839664824,0.0264645845720606,0.0264645845720606
"Maule",0.273541346872332,0.726458653127668,0.0450171835045202,0.0450171835045202
"Melipilla",0.358676698977596,0.641323301022404,0.0457593965949455,0.0457593965949455
"Molina",0.662638708829502,0.337361291170498,0.0352237058429146,0.0352237058429145
"Mostazal",0.680167689432173,0.319832310567827,0.037267058758076,0.037267058758076
"Natales",0.903295122425607,0.0967048775743933,0.0150370814954801,0.0150370814954801
"Nueva Imperial",0.660082376521269,0.33991762347873,0.0540041656317439,0.0540041656317439
"Nunoa",0.644011033230208,0.355988966769792,0.0353468275902334,0.0353468275902334
"Osorno",0.724044423436713,0.275955576563287,0.0273875131405142,0.0273875131405142
"Ovalle",0.203792032028842,0.796207967971158,0.032551533190566,0.032551533190566
"Padre Hurtado",0.363017299380713,0.636982700619288,0.0336095035021079,0.0336095035021079
"Padre Las Casas",0.613831541276011,0.386168458723989,0.0422325700188517,0.0422325700188517
"Paillaco",0.852441208259907,0.147558791740093,0.0292236935698869,0.0292236935698869
"Paine",0.380221914099317,0.619778085900683,0.0569211692053447,0.0569211692053447
"Panguipulli",0.966267991516867,0.0337320084831324,0.0159618659111594,0.0159618659111594
"Parral",0.488825365429013,0.511174634570987,0.0464901973289822,0.0464901973289822
"Pedro Aguirre Cerda",0.419995436029128,0.580004563970873,0.0411206192719338,0.0411206192719338
"Penaflor",0.428748687080135,0.571251312919865,0.0388490655627776,0.0388490655627776
"Penalolen",0.473792353394686,0.526207646605314,0.0394429219140577,0.0394429219140577
"Penco",0.593511566239904,0.406488433760097,0.0416839010898329,0.0416839010898329
"Pichilemu",0.745041459972117,0.254958540027883,0.040521622937028,0.040521622937028
"Pitrufquen",0.733829067950373,0.266170932049627,0.041003480840153,0.041003480840153
"Pozo Almonte",0.687002679659156,0.312997320340844,0.0464038789725598,0.0464038789725598
"Providencia",0.624433234093583,0.375566765906417,0.0333120689373715,0.0333120689373715
"Pucon",0.711897845722297,0.288102154277703,0.0531792542906664,0.0531792542906664
"Pudahuel",0.271681879431808,0.728318120568192,0.0364330611680485,0.0364330611680485
"Puente Alto",0.167301606768277,0.832698393231723,0.0234528196238905,0.0234528196238905
"Puerto Montt",0.703892017885147,0.296107982114853,0.0242200497706327,0.0242200497706327
"Puerto Varas",0.900224726102744,0.099775273897256,0.0211511277161977,0.0211511277161977
"Punta Arenas",0.794645825445815,0.205354174554185,0.0269283561107199,0.0269283561107199
"Quellon",0.454938177445193,0.545061822554807,0.0896420351056632,0.0896420351056632
"Quilicura",0.246175678479798,0.753824321520202,0.0334551302351837,0.0334551302351837
"Quillon",0.653007589234457,0.346992410765543,0.0450987800826465,0.0450987800826465
"Quillota",0.314876119352643,0.685123880647357,0.0243698586671524,0.0243698586671524
"Quilpue",0.518407693837074,0.481592306162926,0.0277048541255355,0.0277048541255355
"Quinta Normal",0.408725273337178,0.591274726662822,0.0378859989559925,0.0378859989559925
"Quirihue",0.797176313704875,0.202823686295125,0.0283771174678229,0.0283771174678229
"Rancagua",0.279331325183267,0.720668674816733,0.0244873527972697,0.0244873527972697
"Recoleta",0.274970842766736,0.725029157233264,0.0295886801250322,0.0295886801250322
"Renca",0.304729669335038,0.695270330664962,0.0335533169440231,0.0335533169440231
"Rengo",0.526074048139689,0.473925951860311,0.0383135155003601,0.0383135155003601
"Rio Bueno",0.893527670272369,0.106472329727631,0.0229484567491131,0.0229484567491131
"San Antonio",0.438438158408112,0.561561841591888,0.0407192764341437,0.0407192764341437
"San Bernardo",0.286355924345767,0.713644075654233,0.0316177823925814,0.0316177823925814
"San Carlos",0.531509323765836,0.468490676234164,0.0316235393782754,0.0316235393782754
"San Felipe",0.410036624155069,0.589963375844931,0.0321565332176677,0.0321565332176677
"San Fernando",0.300536987966931,0.699463012033069,0.0342571664690734,0.0342571664690734
"San Javier",0.457274394846014,0.542725605153986,0.0526945766703864,0.0526945766703864
"San Joaquin",0.296526140346928,0.703473859653073,0.0554874153989061,0.0554874153989061
"San Miguel",0.643420423147652,0.356579576852348,0.0319816139630762,0.0319816139630762
"San Pedro de la Paz",0.511247201984161,0.488752798015839,0.0358580289701992,0.0358580289701992
"San Ramon",0.23269420825453,0.76730579174547,0.0282174261060277,0.0282174261060277
"San Vicente",0.807527710780908,0.192472289219092,0.0419060377667878,0.0419060377667878
"Santa Cruz",0.664018527350524,0.335981472649476,0.0374457764885963,0.0374457764885963
"Santiago",0.648494632000573,0.351505367999427,0.0244377775328063,0.0244377775328063
"Talagante",0.484985791570077,0.515014208429923,0.03588374524941,0.03588374524941
"Talca",0.233039626659064,0.766960373340936,0.0263686183712109,0.0263686183712109
"Talcahuano",0.309940348944117,0.690059651055883,0.0317050391792646,0.0317050391792646
"Temuco",0.475463014399956,0.524536985600044,0.0287933837087481,0.0287933837087481
"Tocopilla",0.321522067376648,0.678477932623352,0.0404931168841437,0.0404931168841437
"Tome",0.654116374977392,0.345883625022608,0.0476056628307081,0.0476056628307081
"Valdivia",0.78446366601909,0.215536333980909,0.0184656548167159,0.0184656548167159
"Vallenar",0.340984186317614,0.659015813682386,0.0412707911924752,0.0412707911924752
"Valparaiso",0.460137542463598,0.539862457536402,0.0284000234473,0.0284000234473
"Victoria",0.587393261121185,0.412606738878815,0.0636275915342235,0.0636275915342236
"Vilcun",0.682516655237715,0.317483344762285,0.060751898419518,0.060751898419518
"Villa Alemana",0.391160973816411,0.608839026183589,0.0262002317038281,0.0262002317038281
"Villarrica",0.807234671554,0.192765328446,0.0370472035061954,0.0370472035061954
"Vina del Mar",0.47778236942763,0.52221763057237,0.0280760726038894,0.0280760726038894
"Vitacura",0.571003158962495,0.428996841037505,0.0445313396278957,0.0445313396278957
"Yungay",0.812539266886101,0.187460733113899,0.036225553881922,0.036225553881922
