"comuna","si_medidas_seguridad_proteccionFALSE","si_medidas_seguridad_proteccionTRUE","se.si_medidas_seguridad_proteccionFALSE","se.si_medidas_seguridad_proteccionTRUE"
"Aisen",0.911535022407382,0.0884649775926178,0.0227371124407311,0.0227371124407311
"Alto Hospicio",0.740890478108943,0.259109521891057,0.0256104712919333,0.0256104712919333
"Ancud",0.758227701808568,0.241772298191432,0.0255509851941245,0.0255509851941245
"Angol",0.617961325421788,0.382038674578212,0.0474543498976424,0.0474543498976424
"Antofagasta",0.765799324245255,0.234200675754745,0.0196130522052538,0.0196130522052538
"Arica",0.863758458176574,0.136241541823426,0.0110211323296171,0.0110211323296171
"Buin",0.611582546067218,0.388417453932782,0.0479638472222218,0.0479638472222218
"Bulnes",0.931116786041922,0.0688832139580778,0.0230805777451383,0.0230805777451383
"Calama",0.825851079567485,0.174148920432515,0.021471667886334,0.021471667886334
"Calbuco",0.949420170119901,0.0505798298800992,0.0232041663657732,0.0232041663657732
"Calera",0.605552009472777,0.394447990527223,0.0371585318504201,0.0371585318504201
"Castro",0.603812499508249,0.396187500491751,0.042410700089572,0.042410700089572
"Cauquenes",0.88410779414866,0.11589220585134,0.0199210445961282,0.0199210445961282
"Cerrillos",0.596629454812375,0.403370545187625,0.0495040191870203,0.0495040191870203
"Cerro Navia",0.591750033613506,0.408249966386494,0.0434327135108598,0.0434327135108598
"Chanaral",0.751128259630015,0.248871740369985,0.0343571136880574,0.0343571136880574
"Chiguayante",0.430417039449658,0.569582960550342,0.0424696695120567,0.0424696695120567
"Chillan",0.760874357291645,0.239125642708355,0.0218568355746743,0.0218568355746743
"Chillan Viejo",0.746979135914451,0.253020864085549,0.0462138774880787,0.0462138774880787
"Chimbarongo",0.847568059427344,0.152431940572656,0.0349283253021659,0.0349283253021659
"Coihaique",0.880434830239667,0.119565169760333,0.0160500357484115,0.0160500357484115
"Coihueco",0.774302215852141,0.225697784147859,0.0519569576772567,0.0519569576772567
"Colina",0.734267006570832,0.265732993429168,0.0338187685509643,0.0338187685509643
"Collipulli",0.698274984390803,0.301725015609197,0.0528370992269618,0.0528370992269618
"Concepcion",0.710773365528871,0.289226634471129,0.0269374074930673,0.0269374074930673
"Conchali",0.449817744021308,0.550182255978692,0.0339797070848865,0.0339797070848865
"Concon",0.719024078966028,0.280975921033972,0.0328522290614301,0.0328522290614301
"Constitucion",0.677577999104264,0.322422000895736,0.0473006613190878,0.0473006613190878
"Copiapo",0.680866057954711,0.319133942045289,0.0274467059280879,0.027446705928088
"Coquimbo",0.41063483471429,0.58936516528571,0.042494836795419,0.042494836795419
"Coronel",0.493654874004294,0.506345125995706,0.0436150201298148,0.0436150201298148
"Curico",0.826377922226541,0.173622077773459,0.0193791714750044,0.0193791714750044
"Donihue",0.708098201423281,0.291901798576719,0.0294470616015674,0.0294470616015674
"El Bosque",0.72038966157991,0.27961033842009,0.0500291053789128,0.0500291053789128
"Estacion Central",0.777650734157914,0.222349265842086,0.0352561199485164,0.0352561199485164
"Graneros",0.638221218032752,0.361778781967248,0.0651171541807726,0.0651171541807726
"Hualpen",0.646717449619454,0.353282550380546,0.0316265086396535,0.0316265086396535
"Huechuraba",0.479149589131909,0.520850410868091,0.0728552023868934,0.0728552023868934
"Illapel",0.575279932834584,0.424720067165417,0.066308249066122,0.066308249066122
"Independencia",0.747476200018167,0.252523799981833,0.0347514929981357,0.0347514929981357
"Iquique",0.74533219912518,0.25466780087482,0.0192222489115702,0.0192222489115702
"La Cisterna",0.760572370521382,0.239427629478618,0.0416259759376715,0.0416259759376715
