"comuna","si_medidas_seguridad_whatsappFALSE","si_medidas_seguridad_whatsappTRUE","se.si_medidas_seguridad_whatsappFALSE","se.si_medidas_seguridad_whatsappTRUE"
"Aisen",0.779831707181596,0.220168292818404,0.0314180580746761,0.0314180580746761
"Alto Hospicio",0.447472053437604,0.552527946562396,0.0323511793132749,0.0323511793132749
"Ancud",0.613815173778062,0.386184826221938,0.0381861347278543,0.0381861347278543
"Angol",0.588425431685964,0.411574568314036,0.0429973096241449,0.0429973096241449
"Antofagasta",0.400678682451007,0.599321317548993,0.0267019668309654,0.0267019668309654
"Arica",0.40361448751599,0.59638551248401,0.0193703268478159,0.0193703268478159
"Buin",0.426944744203802,0.573055255796198,0.0550905977499816,0.0550905977499816
"Bulnes",0.669389377654735,0.330610622345264,0.0393421490610869,0.0393421490610869
"Calama",0.404966786758396,0.595033213241604,0.0320349613490375,0.0320349613490375
"Calbuco",0.625055041857608,0.374944958142392,0.0401329239514682,0.0401329239514682
"Calera",0.526923478975599,0.473076521024401,0.0388793557926497,0.0388793557926497
"Castro",0.617685947207114,0.382314052792886,0.0332618990368416,0.0332618990368416
"Cauquenes",0.776481695534681,0.223518304465319,0.0290184057013173,0.0290184057013173
"Cerrillos",0.389983734293004,0.610016265706996,0.041502557900889,0.041502557900889
"Cerro Navia",0.541295380949039,0.458704619050961,0.0430334495788305,0.0430334495788305
"Chanaral",0.657518977778148,0.342481022221852,0.0527248120264399,0.0527248120264399
"Chiguayante",0.424663539629468,0.575336460370532,0.0424578925483533,0.0424578925483533
"Chillan",0.513220176510125,0.486779823489875,0.0307408544768232,0.0307408544768232
"Chillan Viejo",0.504199521105936,0.495800478894064,0.0457379676122348,0.0457379676122348
"Chimbarongo",0.598782129205494,0.401217870794506,0.0526420215703028,0.0526420215703028
"Coihaique",0.701906625498277,0.298093374501723,0.0297307524412106,0.0297307524412106
"Coihueco",0.766971836990228,0.233028163009772,0.0635198136926014,0.0635198136926014
"Colina",0.42696643411618,0.57303356588382,0.0454819211077601,0.0454819211077602
"Collipulli",0.661929466535921,0.338070533464079,0.0478011323754564,0.0478011323754564
"Concepcion",0.380378331008111,0.619621668991889,0.0290284036822117,0.0290284036822117
"Conchali",0.494985912654269,0.505014087345731,0.0325089768802065,0.0325089768802065
"Concon",0.376816668875007,0.623183331124993,0.0384973980811481,0.0384973980811481
"Constitucion",0.524412709212385,0.475587290787615,0.0438635453245932,0.0438635453245932
"Copiapo",0.504426825034625,0.495573174965375,0.0310605110842731,0.0310605110842731
"Coquimbo",0.398379787171051,0.601620212828949,0.0392572000598703,0.0392572000598703
"Coronel",0.456115771542372,0.543884228457628,0.0335014110342606,0.0335014110342606
"Curico",0.520520395549236,0.479479604450764,0.0286251083885637,0.0286251083885637
