"comuna","si_presencia_balacerasFALSE","si_presencia_balacerasTRUE","se.si_presencia_balacerasFALSE","se.si_presencia_balacerasTRUE"
"Aisen",0.90504969423682,0.0949503057631799,0.018202792843165,0.018202792843165
"Alto Hospicio",0.581084276775391,0.418915723224609,0.0249716017971587,0.0249716017971587
"Ancud",0.905182226686922,0.0948177733130777,0.0206268557050513,0.0206268557050513
"Angol",0.698624332735299,0.301375667264701,0.0389255167899138,0.0389255167899138
"Antofagasta",0.69278506557766,0.30721493442234,0.0233787204442908,0.0233787204442908
"Arica",0.627158127849675,0.372841872150325,0.0168162475273534,0.0168162475273534
"Buin",0.621955057478441,0.378044942521559,0.0448930941005747,0.0448930941005747
"Bulnes",0.904674445495314,0.0953255545046864,0.0293890331971518,0.0293890331971518
"Calama",0.627179926347562,0.372820073652438,0.0322782454232313,0.0322782454232313
"Calbuco",0.819225105252299,0.180774894747701,0.0405181136968837,0.0405181136968837
"Calera",0.624533270033122,0.375466729966878,0.0317941811013524,0.0317941811013524
"Castro",0.739068287254568,0.260931712745432,0.0307842415624732,0.0307842415624732
"Cauquenes",0.877855027903958,0.122144972096042,0.0193796952530234,0.0193796952530234
"Cerrillos",0.504733457768331,0.495266542231669,0.0326216359825468,0.0326216359825468
"Cerro Navia",0.360648981161956,0.639351018838044,0.0355636773556151,0.0355636773556151
"Chanaral",0.836462315154288,0.163537684845712,0.0428529366155973,0.0428529366155973
"Chiguayante",0.631568169982205,0.368431830017795,0.0374589342707565,0.0374589342707565
"Chillan",0.702120722106193,0.297879277893807,0.0256673001149437,0.0256673001149437
"Chillan Viejo",0.745823058601023,0.254176941398977,0.0328629205074495,0.0328629205074495
"Chimbarongo",0.87251081044601,0.12748918955399,0.0320286090323176,0.0320286090323176
"Coihaique",0.872675406797585,0.127324593202415,0.018250968283619,0.018250968283619
"Coihueco",0.643474125144225,0.356525874855775,0.0660058649313072,0.0660058649313072
"Colina",0.503469258362661,0.496530741637339,0.0428970260505758,0.0428970260505758
"Collipulli",0.363749018005519,0.636250981994481,0.0593007463074434,0.0593007463074434
"Concepcion",0.636907975955774,0.363092024044226,0.0248613725129504,0.0248613725129504
"Conchali",0.335442355618485,0.664557644381515,0.0253011876409187,0.0253011876409187
"Concon",0.722757287960238,0.277242712039762,0.0308931039793256,0.0308931039793256
"Constitucion",0.748872876883571,0.251127123116429,0.0363702206774109,0.0363702206774109
"Copiapo",0.636753302505674,0.363246697494326,0.0287820968241161,0.0287820968241161
"Coquimbo",0.705396551370337,0.294603448629663,0.0316064683916226,0.0316064683916226
"Coronel",0.516249107102145,0.483750892897855,0.0306018310520202,0.0306018310520202
"Curico",0.73644952426945,0.26355047573055,0.022226631611166,0.022226631611166
"Donihue",0.870080879521203,0.129919120478797,0.0438984189099897,0.0438984189099897
"El Bosque",0.307502106995317,0.692497893004683,0.0409308262217411,0.0409308262217411
"Estacion Central",0.458442685591361,0.541557314408639,0.0362385202656422,0.0362385202656422
"Graneros",0.612367358449694,0.387632641550306,0.0517997917436667,0.0517997917436667
"Hualpen",0.544239455143774,0.455760544856226,0.0439926408266184,0.0439926408266184
"Huechuraba",0.591152379936825,0.408847620063175,0.0640823765895836,0.0640823765895836
"Illapel",0.714512322148606,0.285487677851394,0.0396271515197031,0.0396271515197031
"Independencia",0.610194540161987,0.389805459838013,0.0484296618161097,0.0484296618161097
"Iquique",0.744327028557404,0.255672971442596,0.0216719923435807,0.0216719923435807
"La Cisterna",0.558454128376114,0.441545871623886,0.0387116679611604,0.0387116679611604
"La Florida",0.564184313825086,0.435815686174914,0.0284816717065303,0.0284816717065303
"La Granja",0.279358182365655,0.720641817634345,0.0286462182575543,0.0286462182575543
"La Ligua",0.789699069686244,0.210300930313756,0.0303980526699346,0.0303980526699346
"La Pintana",0.155061646981516,0.844938353018484,0.0302287999639559,0.0302287999639559
"La Reina",0.727962067029484,0.272037932970516,0.0391638928688901,0.0391638928688901
"La Serena",0.655873992810567,0.344126007189433,0.0293038676279174,0.0293038676279174
"La Union",0.734936793688944,0.265063206311056,0.0389175395802952,0.0389175395802952
"Lampa",0.581918632294637,0.418081367705363,0.0348941330799799,0.0348941330799799
"Las Condes",0.919065217245845,0.0809347827541551,0.0133706737313226,0.0133706737313226
"Lautaro",0.74980627576669,0.25019372423331,0.0448329618229877,0.0448329618229877
"Lebu",0.739564233124295,0.260435766875705,0.0361367103003853,0.0361367103003853
"Limache",0.733924095790156,0.266075904209844,0.0374771181641669,0.0374771181641669
"Linares",0.720653186882848,0.279346813117152,0.0320062139674873,0.0320062139674874
"Lo Barnechea",0.849624678729031,0.150375321270969,0.0308266397839136,0.0308266397839136
"Lo Espejo",0.233421301633296,0.766578698366704,0.0278579443641053,0.0278579443641053
"Lo Prado",0.404546355626881,0.595453644373119,0.0433877530499501,0.0433877530499501
"Loncoche",0.815216352389059,0.184783647610941,0.0421460151665498,0.0421460151665498
"Los Andes",0.754883071634686,0.245116928365314,0.0337512365989436,0.0337512365989436
"Los Angeles",0.508264983872332,0.491735016127668,0.0349178965562276,0.0349178965562276
"Los Vilos",0.700461315603558,0.299538684396442,0.0433324639483229,0.0433324639483229
