"comuna","si_presencia_pandillasFALSE","si_presencia_pandillasTRUE","se.si_presencia_pandillasFALSE","se.si_presencia_pandillasTRUE"
"Aisen",0.837481202339605,0.162518797660395,0.0260998167644638,0.0260998167644638
"Alto Hospicio",0.611932943876563,0.388067056123437,0.0245546075550998,0.0245546075550998
"Ancud",0.870201026966198,0.129798973033801,0.0209646699513433,0.0209646699513433
"Angol",0.837585759722217,0.162414240277783,0.0267821478124744,0.0267821478124744
"Antofagasta",0.748101225899743,0.251898774100257,0.0215455342074141,0.0215455342074141
"Arica",0.685823713616227,0.314176286383773,0.015945992736061,0.015945992736061
"Buin",0.737458946036751,0.262541053963249,0.0349739712467965,0.0349739712467965
"Bulnes",0.900488053953409,0.0995119460465913,0.0266572882278583,0.0266572882278583
"Calama",0.825912829285988,0.174087170714013,0.0232244110728063,0.0232244110728063
"Calbuco",0.825462537436644,0.174537462563356,0.0329100084698001,0.0329100084698001
"Calera",0.81934177389228,0.18065822610772,0.0231628547887557,0.0231628547887557
"Castro",0.839303180339137,0.160696819660863,0.0257769404274567,0.0257769404274567
"Cauquenes",0.935328734939546,0.064671265060454,0.0140576465870126,0.0140576465870126
"Cerrillos",0.663099040571941,0.336900959428059,0.0406258730376811,0.040625873037681
"Cerro Navia",0.661802365110324,0.338197634889676,0.0403720717391154,0.0403720717391154
"Chanaral",0.807257877569171,0.192742122430829,0.044060733003791,0.044060733003791
"Chiguayante",0.738178406482899,0.261821593517101,0.0348490887019899,0.0348490887019899
"Chillan",0.848783152484204,0.151216847515796,0.0181071359181324,0.0181071359181324
"Chillan Viejo",0.851408421740182,0.148591578259819,0.024445971139923,0.024445971139923
"Chimbarongo",0.808176160558916,0.191823839441084,0.0414076492215564,0.0414076492215564
"Coihaique",0.857685355746777,0.142314644253223,0.0139124475065685,0.0139124475065685
"Coihueco",0.72146380190315,0.27853619809685,0.0532136518848698,0.0532136518848698
"Colina",0.697057760246765,0.302942239753235,0.0342513269335795,0.0342513269335795
"Collipulli",0.806336606978277,0.193663393021723,0.0388645786362784,0.0388645786362784
"Concepcion",0.80153791868022,0.19846208131978,0.0211537513253768,0.0211537513253768
"Conchali",0.666654162569708,0.333345837430292,0.0257615630650622,0.0257615630650622
"Concon",0.824151596869795,0.175848403130205,0.0303412914725654,0.0303412914725654
"Constitucion",0.796787220953456,0.203212779046544,0.0323352715224661,0.0323352715224661
"Copiapo",0.830513350742383,0.169486649257617,0.0172621049468557,0.0172621049468557
"Coquimbo",0.763597520112946,0.236402479887054,0.0265823468933909,0.0265823468933909
