"comuna","si_presencia_peleas_con_armas_en_barrioFALSE","si_presencia_peleas_con_armas_en_barrioTRUE","se.si_presencia_peleas_con_armas_en_barrioFALSE","se.si_presencia_peleas_con_armas_en_barrioTRUE"
"Aisen",0.879466330044102,0.120533669955898,0.023841135106746,0.023841135106746
"Alto Hospicio",0.677590361565343,0.322409638434657,0.0239299747557501,0.0239299747557501
"Ancud",0.927669563517998,0.0723304364820015,0.019993544517891,0.019993544517891
"Angol",0.84733858290376,0.15266141709624,0.030335045427636,0.030335045427636
"Antofagasta",0.767485690050633,0.232514309949367,0.0195261385850887,0.0195261385850887
"Arica",0.702394668521556,0.297605331478444,0.0168137316233973,0.0168137316233973
"Buin",0.756272752062606,0.243727247937394,0.0442015612695167,0.0442015612695167
"Bulnes",0.924462908818051,0.0755370911819489,0.0200068074105603,0.0200068074105603
"Calama",0.776376720319981,0.223623279680019,0.0297770926125429,0.0297770926125429
"Calbuco",0.881999958937268,0.118000041062732,0.0262468365219444,0.0262468365219444
"Calera",0.827749560396497,0.172250439603503,0.0243545490175499,0.0243545490175499
"Castro",0.897287576114892,0.102712423885108,0.0220376801961462,0.0220376801961462
"Cauquenes",0.92493814537122,0.0750618546287797,0.0169225851324202,0.0169225851324202
"Cerrillos",0.767772448999142,0.232227551000858,0.0363382439670975,0.0363382439670975
"Cerro Navia",0.66773510043495,0.33226489956505,0.0383492827252365,0.0383492827252365
"Chanaral",0.793882307596126,0.206117692403874,0.040735249667036,0.040735249667036
"Chiguayante",0.814803447300433,0.185196552699567,0.0328479845907398,0.0328479845907398
"Chillan",0.861706865256612,0.138293134743388,0.0193163388407992,0.0193163388407992
"Chillan Viejo",0.89135606220313,0.10864393779687,0.0224904918517841,0.0224904918517841
"Chimbarongo",0.861958165874018,0.138041834125983,0.0465534045244321,0.0465534045244321
"Coihaique",0.896449745121115,0.103550254878885,0.0132384214345298,0.0132384214345298
"Coihueco",0.73885061259034,0.26114938740966,0.0544853156475084,0.0544853156475085
"Colina",0.7978896979844,0.2021103020156,0.0305455244050534,0.0305455244050534
"Collipulli",0.784132288457769,0.215867711542231,0.0358582522736579,0.0358582522736579
"Concepcion",0.869917517381316,0.130082482618684,0.0167573240556502,0.0167573240556502
"Conchali",0.643671728277956,0.356328271722044,0.0248331884236358,0.0248331884236358
"Concon",0.93023269626373,0.0697673037362705,0.0147913686230331,0.0147913686230331
"Constitucion",0.841895175642691,0.158104824357309,0.028509291022068,0.028509291022068
"Copiapo",0.791605834524672,0.208394165475328,0.0252033641110663,0.0252033641110663
"Coquimbo",0.818330992140064,0.181669007859936,0.0269510640381649,0.0269510640381649
"Coronel",0.786605997827732,0.213394002172268,0.0197542678811469,0.0197542678811469
"Curico",0.865402141833585,0.134597858166415,0.0160772636728011,0.0160772636728011
"Donihue",0.906361777101939,0.0936382228980608,0.032004076980713,0.032004076980713
"El Bosque",0.670937240434589,0.329062759565411,0.0473019922880504,0.0473019922880504
"Estacion Central",0.660580896679795,0.339419103320205,0.0354456655428102,0.0354456655428102
"Graneros",0.736153476597071,0.263846523402929,0.0599592853275631,0.0599592853275631
"Hualpen",0.823285269971838,0.176714730028162,0.0286631040592217,0.0286631040592217
"Huechuraba",0.806001002368792,0.193998997631208,0.0437868276483071,0.0437868276483071
"Illapel",0.864925629779889,0.135074370220111,0.0230124136613474,0.0230124136613474
"Independencia",0.623544536600199,0.376455463399801,0.0515914932552961,0.0515914932552961
"Iquique",0.778672499389254,0.221327500610746,0.0208934200046485,0.0208934200046485
"La Cisterna",0.765420521055226,0.234579478944774,0.0315701708166607,0.0315701708166607
"La Florida",0.820897566862506,0.179102433137494,0.0262874263674552,0.0262874263674552
"La Granja",0.587138707029576,0.412861292970424,0.0320335936610714,0.0320335936610714
"La Ligua",0.888429189011057,0.111570810988943,0.0206091632141368,0.0206091632141368
"La Pintana",0.508414011861859,0.491585988138141,0.0497889198979021,0.0497889198979021
"La Reina",0.893458820778665,0.106541179221335,0.0273093997071338,0.0273093997071338
"La Serena",0.89828218870174,0.10171781129826,0.0171193543758404,0.0171193543758404
"La Union",0.875737850329643,0.124262149670357,0.0230479611075203,0.0230479611075203
"Lampa",0.772511171594575,0.227488828405425,0.0298963217935601,0.0298963217935601
"Las Condes",0.9670896105301,0.0329103894699,0.00917526526636978,0.00917526526636978
"Lautaro",0.867151634372976,0.132848365627024,0.0318220565004608,0.0318220565004608
"Lebu",0.865604641442876,0.134395358557124,0.0267183471015116,0.0267183471015116
"Limache",0.871249841450139,0.128750158549861,0.0269689751694277,0.0269689751694277
"Linares",0.878873895574579,0.121126104425421,0.0198161219026278,0.0198161219026278
"Lo Barnechea",0.918011828110141,0.0819881718898588,0.0245660615395828,0.0245660615395828
"Lo Espejo",0.649719036872885,0.350280963127115,0.0319406233476095,0.0319406233476095
"Lo Prado",0.647012200096599,0.352987799903401,0.0434491008918494,0.0434491008918494
"Loncoche",0.907103483691978,0.0928965163080215,0.0249576648820603,0.0249576648820602
"Los Andes",0.826974047590099,0.173025952409901,0.0301874986434924,0.0301874986434924
"Los Angeles",0.828172711430754,0.171827288569246,0.0272115853292249,0.0272115853292249
"Los Vilos",0.828277017974214,0.171722982025786,0.0433930443046049,0.0433930443046049
"Lota",0.80291885726331,0.19708114273669,0.0228493555000526,0.0228493555000526
"Machali",0.899803274841875,0.100196725158125,0.023015647883391,0.023015647883391
"Macul",0.781200335143125,0.218799664856875,0.0239461873010175,0.0239461873010175
"Maipu",0.832352004072407,0.167647995927593,0.0211689406799991,0.0211689406799991
"Maule",0.883161835660297,0.116838164339703,0.0226600109337036,0.0226600109337036
