"comuna","si_presencia_violencia_entre_vecinosFALSE","si_presencia_violencia_entre_vecinosTRUE","se.si_presencia_violencia_entre_vecinosFALSE","se.si_presencia_violencia_entre_vecinosTRUE"
"Aisen",0.920201979047592,0.079798020952408,0.0217261242535977,0.0217261242535977
"Alto Hospicio",0.749344317068775,0.250655682931225,0.0225398895441192,0.0225398895441192
"Ancud",0.907669535245131,0.0923304647548685,0.0213545936392793,0.0213545936392793
"Angol",0.850777064820819,0.149222935179181,0.0290974164322411,0.0290974164322411
"Antofagasta",0.796112272880329,0.203887727119671,0.0177710188241356,0.0177710188241356
"Arica",0.715404735960267,0.284595264039733,0.0164745193154238,0.0164745193154238
"Buin",0.802414714694983,0.197585285305017,0.0370437509973182,0.0370437509973182
"Bulnes",0.908460845364389,0.091539154635611,0.0209160562175582,0.0209160562175582
"Calama",0.826267499294449,0.173732500705551,0.0230293367698347,0.0230293367698347
"Calbuco",0.901361683589802,0.0986383164101978,0.0244814070241265,0.0244814070241265
"Calera",0.829238431368788,0.170761568631212,0.0238693294126872,0.0238693294126872
"Castro",0.873237658874117,0.126762341125883,0.0209404670400472,0.0209404670400472
"Cauquenes",0.941141806321599,0.0588581936784011,0.0151614776550076,0.0151614776550076
"Cerrillos",0.818753949428496,0.181246050571504,0.0260689070033053,0.0260689070033053
"Cerro Navia",0.721589378396234,0.278410621603766,0.0425718920753414,0.0425718920753414
"Chanaral",0.806645577575861,0.193354422424139,0.0423458690152821,0.0423458690152821
"Chiguayante",0.781926648690861,0.218073351309139,0.0332163937773261,0.0332163937773262
"Chillan",0.84555479774195,0.15444520225805,0.0187265402030197,0.0187265402030197
"Chillan Viejo",0.876941501899729,0.123058498100271,0.026143687449924,0.026143687449924
"Chimbarongo",0.887656937588275,0.112343062411725,0.0370354136551136,0.0370354136551136
"Coihaique",0.905987228632417,0.0940127713675832,0.0136893142350368,0.0136893142350368
"Coihueco",0.651479138481762,0.348520861518238,0.069826969471611,0.069826969471611
"Colina",0.789083625885729,0.210916374114271,0.0325029713692596,0.0325029713692596
"Collipulli",0.771051589848218,0.228948410151782,0.0407682172650372,0.0407682172650372
"Concepcion",0.841841722657608,0.158158277342392,0.0151641011503114,0.0151641011503114
"Conchali",0.68652538221554,0.31347461778446,0.026858244292487,0.026858244292487
"Concon",0.886809937406352,0.113190062593648,0.023621801650636,0.023621801650636
"Constitucion",0.823079346178809,0.176920653821191,0.0285704389650965,0.0285704389650965
"Copiapo",0.804941992198974,0.195058007801027,0.0224576446176608,0.0224576446176608
"Coquimbo",0.843359719791719,0.156640280208281,0.0219365604404098,0.0219365604404098
"Coronel",0.768198140631889,0.231801859368111,0.0224204944007247,0.0224204944007247
"Curico",0.874260690523042,0.125739309476958,0.0161836186629943,0.0161836186629943
"Donihue",0.906079429767385,0.093920570232615,0.0244831960303312,0.0244831960303312
"El Bosque",0.76891387430839,0.23108612569161,0.0465855685379769,0.0465855685379769
"Estacion Central",0.716312994201453,0.283687005798547,0.0299165885631381,0.0299165885631381
"Graneros",0.83164855847397,0.16835144152603,0.0399841248937071,0.0399841248937071
"Hualpen",0.803587700966156,0.196412299033844,0.0267363324242486,0.0267363324242486
"Huechuraba",0.785308179509889,0.214691820490111,0.0426445205885513,0.0426445205885513
"Illapel",0.828155929490517,0.171844070509483,0.0242639585230745,0.0242639585230745
"Independencia",0.590838930810864,0.409161069189136,0.0443352680970233,0.0443352680970233
"Iquique",0.830341347150307,0.169658652849692,0.0158658134394186,0.0158658134394186
"La Cisterna",0.785272221218635,0.214727778781364,0.0322620119116847,0.0322620119116847
"La Florida",0.825623988533041,0.174376011466959,0.023579299291526,0.023579299291526
"La Granja",0.647074188415655,0.352925811584345,0.0285591154242095,0.0285591154242095
"La Ligua",0.885361894498375,0.114638105501625,0.0196568775603224,0.0196568775603224
"La Pintana",0.554209955106776,0.445790044893224,0.0540361735032261,0.0540361735032261
"La Reina",0.886784954423664,0.113215045576336,0.0243361604975569,0.0243361604975569
"La Serena",0.904312084346997,0.0956879156530029,0.0144448265676342,0.0144448265676342
"La Union",0.849119710978938,0.150880289021062,0.026288106323392,0.026288106323392
"Lampa",0.808435661155969,0.191564338844031,0.0255462488594681,0.0255462488594681
"Las Condes",0.945310690303225,0.054689309696775,0.0130719784628808,0.0130719784628808
"Lautaro",0.832776447924489,0.167223552075511,0.0352385626563231,0.0352385626563231
"Lebu",0.842174786143173,0.157825213856827,0.0298988903232066,0.0298988903232066
"Limache",0.830162113327627,0.169837886672373,0.0311653372010595,0.0311653372010595
"Linares",0.881202541825252,0.118797458174748,0.0204192528148376,0.0204192528148376
"Lo Barnechea",0.921035598844406,0.0789644011555937,0.0221746913183542,0.0221746913183542
"Lo Espejo",0.705165483569139,0.294834516430862,0.0298760384070614,0.0298760384070614
"Lo Prado",0.732446797461943,0.267553202538057,0.0430828973925044,0.0430828973925044
"Loncoche",0.947699561274209,0.052300438725791,0.0156320881892987,0.0156320881892987
"Los Andes",0.838476242716241,0.161523757283759,0.0259927234164744,0.0259927234164744
"Los Angeles",0.834583677296159,0.165416322703841,0.022422459739236,0.022422459739236
"Los Vilos",0.843362931740322,0.156637068259678,0.0340521448020244,0.0340521448020244
"Lota",0.804139345050007,0.195860654949993,0.0245305804117729,0.0245305804117729
"Machali",0.903327376705482,0.0966726232945183,0.0184216393697171,0.0184216393697171
"Macul",0.759321447403882,0.240678552596118,0.0281086082605656,0.0281086082605656
