"comuna","victimizacion_armada_de_algun_tipoFALSE","victimizacion_armada_de_algun_tipoTRUE","se.victimizacion_armada_de_algun_tipoFALSE","se.victimizacion_armada_de_algun_tipoTRUE"
"Aisen",0.994031537071785,0.00596846292821503,0.00464737891650825,0.00464737891650825
"Alto Hospicio",0.969798608972545,0.0302013910274548,0.00787612194730459,0.00787612194730459
"Ancud",1,0,3.58932071233221e-18,0
"Angol",0.995510580328966,0.00448941967103409,0.0044678037328511,0.0044678037328511
"Antofagasta",0.982635318916273,0.0173646810837273,0.00538555134846977,0.00538555134846977
"Arica",0.982912740934757,0.0170872590652434,0.00430746198019539,0.00430746198019539
"Buin",0.996705648817508,0.00329435118249201,0.00331922578863794,0.00331922578863794
"Bulnes",0.996019650283966,0.00398034971603442,0.00397422201192366,0.00397422201192366
"Calama",0.968845993222335,0.0311540067776647,0.00939220311057587,0.00939220311057587
"Calbuco",0.994683223808758,0.00531677619124229,0.00534819667545974,0.00534819667545974
"Calera",0.984334124637525,0.0156658753624753,0.00766710797504072,0.00766710797504072
"Castro",0.99388015827787,0.00611984172212959,0.00607389803859674,0.00607389803859674
"Cauquenes",1,0,0,0
"Cerrillos",0.976761539497742,0.023238460502258,0.00945206761479377,0.00945206761479377
"Cerro Navia",0.956228136343848,0.0437718636561524,0.0188324727724569,0.0188324727724569
"Chanaral",0.99397878123533,0.00602121876466996,0.00592944008012259,0.00592944008012259
"Chiguayante",0.99171021557508,0.00828978442491983,0.00676601207536073,0.00676601207536073
"Chillan",0.995537480182379,0.00446251981762118,0.00313824188904334,0.00313824188904334
"Chillan Viejo",0.980546650955926,0.0194533490440744,0.00839939528333401,0.00839939528333401
"Chimbarongo",1,0,0,0
"Coihaique",0.997289755847982,0.00271024415201788,0.00272105830447899,0.00272105830447899
"Coihueco",0.994367070194949,0.0056329298050509,0.00571224414490503,0.00571224414490503
"Colina",0.966535650182694,0.033464349817306,0.011771011785557,0.011771011785557
"Collipulli",0.986937792646557,0.0130622073534433,0.0093367714949772,0.0093367714949772
"Concepcion",0.994095199283877,0.00590480071612256,0.00304294184513406,0.00304294184513406
"Conchali",0.9344781126255,0.0655218873745001,0.0125082216088515,0.0125082216088515
"Concon",0.99210544222506,0.00789455777494041,0.00451998919785957,0.00451998919785957
"Constitucion",0.996406270329762,0.00359372967023806,0.0035803736691502,0.0035803736691502
"Copiapo",0.984835374949329,0.0151646250506711,0.00545316398885303,0.00545316398885303
"Coquimbo",0.998093647842913,0.00190635215708697,0.00191362911921811,0.00191362911921811
"Coronel",0.980484565031867,0.0195154349681329,0.00745500941881855,0.00745500941881855
"Curico",0.995153111286938,0.00484688871306168,0.00251827663600873,0.00251827663600873
"Donihue",1,0,0,0
"El Bosque",0.964551621159878,0.0354483788401225,0.0122268635588965,0.0122268635588965
"Estacion Central",0.944820000773627,0.055179999226373,0.0160702933326179,0.0160702933326179
"Graneros",1,0,0,0
"Hualpen",0.987744028327233,0.012255971672767,0.00723760443652407,0.00723760443652407
"Huechuraba",0.971895087011869,0.0281049129881306,0.0131757349987957,0.0131757349987957
"Illapel",0.995220554746532,0.00477944525346831,0.00355282903484853,0.00355282903484853
"Independencia",0.975824661655025,0.0241753383449755,0.010581524503781,0.010581524503781
